Year,CitingField,NumOutgoingCitations,CitedField,NumIncomingCitations
1844.0,86803240,1,86803240,717
1847.0,86803240,2,86803240,807
1889.0,144024400,1,144024400,831
1993.0,86803240,2623986,86803240,6950123
1949.0,185592680,49718,185592680,321979
1959.0,86803240,80153,86803240,393145
1962.0,127413603,19278,127413603,57231
1959.0,192562407,87208,192562407,357443
1974.0,39432304,24291,39432304,123410
1948.0,144133560,925,144133560,4571
1932.0,138885662,6124,138885662,11172
1891.0,192562407,61,192562407,741
1930.0,142362112,1974,142362112,10043
1916.0,71924100,3140,71924100,25836
1937.0,15744967,6362,15744967,37224
1945.0,142362112,948,142362112,7397
1959.0,127313418,16391,127313418,81598
1934.0,144024400,190,144024400,6394
1930.0,144024400,85,144024400,6191
2006.0,121332964,2106855,121332964,2646081
1979.0,33923547,162701,33923547,781467
1956.0,41008148,25495,41008148,108610
1949.0,41008148,19274,41008148,67659
1979.0,17744445,27234,17744445,154304
1956.0,205649164,4355,205649164,31266
1890.0,86803240,187,86803240,5779
2021.0,138885662,11630,138885662,91
1994.0,127313418,318725,127313418,724946
2016.0,41008148,9771513,41008148,4062062
2015.0,86803240,15739392,86803240,6650668
1934.0,71924100,27317,71924100,91221
1961.0,185592680,200375,185592680,790770
2018.0,71924100,15797727,71924100,3519399
1973.0,95457728,11766,95457728,74127
1917.0,121332964,323,121332964,4660
2015.0,41008148,9523471,41008148,4627091
2017.0,205649164,1236309,205649164,318069
1945.0,39432304,3770,39432304,23499
2016.0,127313418,2257225,127313418,634796
1972.0,144024400,15502,144024400,112851
1958.0,121332964,36091,121332964,222547
1962.0,185592680,221331,185592680,891300
1892.0,138885662,260,138885662,10056
2009.0,17744445,1127920,17744445,756206
2001.0,192562407,2164954,192562407,4382337
1978.0,185592680,1011512,185592680,2359213
1994.0,205649164,111067,205649164,367386
1925.0,185592680,7845,185592680,62730
1962.0,138885662,11999,138885662,38339
1946.0,95457728,1017,95457728,13213
1943.0,39432304,1212,39432304,7095
1898.0,127413603,24,127413603,633
1953.0,144024400,1279,144024400,21187
2001.0,138885662,109726,138885662,130465
2018.0,39432304,3314773,39432304,785880
1957.0,185592680,123276,185592680,591595
1941.0,127413603,3452,127413603,70863
2014.0,86803240,15843661,86803240,7591503
1995.0,17744445,122303,17744445,513774
1998.0,86803240,4596272,86803240,9692920
1982.0,41008148,148369,41008148,637252
1980.0,205649164,38024,205649164,147294
1986.0,138885662,29437,138885662,79122
1940.0,138885662,4438,138885662,8052
1965.0,205649164,9694,205649164,53594
1972.0,144133560,4179,144133560,55202
1956.0,162324750,468,162324750,50450
1903.0,121332964,554,121332964,3727
2005.0,192562407,3615351,192562407,5275204
1936.0,127413603,950,127413603,65749
1989.0,39432304,118458,39432304,348245
1957.0,86803240,60522,86803240,318510
1956.0,138885662,10916,138885662,18760
2017.0,17744445,1265151,17744445,272913
1976.0,142362112,9507,142362112,53284
1974.0,86803240,553394,86803240,1461488
1982.0,192562407,468009,192562407,1287167
1991.0,162324750,153533,162324750,626699
2013.0,127313418,1982916,127313418,1043453
1968.0,15744967,82801,15744967,381822
1929.0,142362112,3060,142362112,9270
1897.0,185592680,1413,185592680,10336
1907.0,86803240,1157,86803240,14743
1945.0,41008148,11075,41008148,35035
2013.0,192562407,9641857,192562407,6344577
1959.0,33923547,14785,33923547,200211
1999.0,95457728,87330,95457728,170809
1959.0,121332964,40435,121332964,237150
1933.0,192562407,2341,192562407,43508
1965.0,95457728,7188,95457728,45613
1941.0,17744445,742,17744445,9185
2013.0,185592680,10179429,185592680,5306332
1999.0,71924100,3813176,71924100,8011696
1971.0,121332964,178696,121332964,543435
1944.0,71924100,30694,71924100,99330
1969.0,95457728,7769,95457728,59204
1969.0,185592680,474158,185592680,1487552
1987.0,71924100,1305890,71924100,3291555
1982.0,17744445,36390,17744445,171220
1996.0,205649164,143189,205649164,456272
1954.0,39432304,10487,39432304,42046
2016.0,185592680,10838088,185592680,3632121
2020.0,144024400,1762756,144024400,53942
2014.0,144133560,2105604,144133560,617050
1990.0,86803240,2185379,86803240,5564326
1970.0,121332964,162316,121332964,535740
1968.0,86803240,264546,86803240,915624
1973.0,127313418,59234,127313418,268968
1983.0,95457728,26342,95457728,88721
2021.0,205649164,170004,205649164,1599
2021.0,127413603,39563,127413603,655
2013.0,71924100,16741538,71924100,9181405
1993.0,41008148,638670,41008148,2006751
1946.0,127313418,4070,127313418,17488
1980.0,162324750,51474,162324750,279254
1973.0,71924100,382903,71924100,1203582
1959.0,144133560,1130,144133560,29290
1946.0,71924100,30815,71924100,137395
1936.0,185592680,19147,185592680,105448
1938.0,121332964,4931,121332964,37652
1921.0,185592680,4147,185592680,26209
1919.0,127413603,73,127413603,4235
1905.0,86803240,605,86803240,13500
1942.0,144024400,515,144024400,7594
2000.0,185592680,3175415,185592680,5944810
2010.0,33923547,2790432,33923547,2253794
1985.0,17744445,46755,17744445,211902
1955.0,144133560,1217,144133560,6847
1936.0,121332964,3747,121332964,35254
1917.0,86803240,1987,86803240,19065
1928.0,17744445,347,17744445,5956
1916.0,127413603,210,127413603,5187
1925.0,17744445,294,17744445,5120
1841.0,121332964,1,121332964,81
1939.0,205649164,1880,205649164,18222
1880.0,138885662,87,138885662,1026
1913.0,33923547,173,33923547,7172
1918.0,33923547,80,33923547,7187
1916.0,17744445,74,17744445,2948
1898.0,17744445,16,17744445,1128
1873.0,185592680,196,185592680,2114
1855.0,192562407,3,192562407,236
1898.0,39432304,4,39432304,1118
1873.0,205649164,1,205649164,1457
1885.0,205649164,9,205649164,2540
1929.0,17744445,349,17744445,6451
1894.0,33923547,47,33923547,3193
1928.0,162324750,74,162324750,9589
1890.0,142362112,24,142362112,3355
1864.0,138885662,3,138885662,493
1911.0,39432304,24,39432304,5245
1877.0,142362112,2,142362112,789
1867.0,127313418,9,127313418,593
1867.0,138885662,18,138885662,276
1867.0,86803240,14,86803240,2023
1906.0,15744967,48,15744967,5963
1847.0,121332964,5,121332964,108
1908.0,144133560,1,144133560,564
1883.0,17744445,3,17744445,589
1846.0,205649164,3,205649164,614
1926.0,162324750,7,162324750,3266
1894.0,127313418,52,127313418,2162
1842.0,127313418,1,127313418,358
1903.0,39432304,6,39432304,2422
1869.0,142362112,3,142362112,669
1835.0,185592680,2,185592680,170
1832.0,142362112,3,142362112,632
1865.0,121332964,5,121332964,1449
1859.0,15744967,1,15744967,155
1892.0,162324750,2,162324750,751
1890.0,95457728,18,95457728,2154
1824.0,138885662,2,138885662,98
1879.0,127313418,1,127313418,1624
1854.0,33923547,1,33923547,490
1844.0,121332964,1,121332964,342
1846.0,142362112,2,142362112,463
1992.0,127313418,306565,127313418,688341
1980.0,33923547,177421,33923547,868517
1918.0,205649164,163,205649164,3871
1879.0,33923547,5,33923547,3099
2020.0,95457728,335476,95457728,13557
2005.0,39432304,697782,39432304,1185280
1985.0,185592680,1476221,185592680,3061559
1953.0,192562407,59391,192562407,238592
1956.0,192562407,73684,192562407,272224
1940.0,192562407,4034,192562407,61268
1908.0,33923547,169,33923547,9739
1942.0,205649164,1284,205649164,14384
2002.0,205649164,365833,205649164,671224
1993.0,142362112,42870,142362112,132223
1940.0,185592680,20987,185592680,121786
1959.0,15744967,25497,15744967,208499
