year(Date),FieldOfStudyId,Gender,Authorships
1941.0,127313418,0,103
1990.0,127413603,1,62687
1991.0,127413603,1,64382
2007.0,185592680,1,241108
1991.0,144133560,1,10846
2010.0,144133560,1,48596
2006.0,144133560,1,37273
2002.0,121332964,0,22436
1993.0,192562407,0,20103
1969.0,17744445,1,11800
1983.0,205649164,0,3551
2002.0,162324750,0,9088
1992.0,192562407,0,18912
1939.0,71924100,1,7830
1921.0,138885662,0,86
1957.0,142362112,1,5753
1959.0,71924100,0,3676
1927.0,144024400,1,605
1900.0,95457728,0,112
1897.0,185592680,1,682
1893.0,192562407,1,97
1867.0,121332964,1,81
1961.0,127313418,0,398
1954.0,192562407,0,771
1920.0,162324750,1,240
1924.0,121332964,1,785
1962.0,127413603,0,627
1920.0,138885662,0,98
1999.0,33923547,1,55001
1979.0,142362112,1,16106
1979.0,127413603,1,35293
2016.0,71924100,1,665117
2013.0,127413603,0,73570
1997.0,95457728,1,10786
1942.0,127413603,1,6198
1945.0,127413603,1,6402
1977.0,39432304,1,6277
1993.0,162324750,1,15843
1944.0,127413603,1,6578
1948.0,41008148,0,304
1973.0,41008148,0,1735
1955.0,205649164,1,2504
1953.0,127413603,1,3796
1931.0,138885662,1,1835
1924.0,142362112,1,2678
1947.0,138885662,0,218
1962.0,86803240,0,2829
1976.0,138885662,0,1447
1945.0,205649164,1,1231
1918.0,205649164,1,699
1871.0,33923547,1,79
1913.0,127413603,1,967
1887.0,121332964,1,143
1906.0,127313418,1,522
1949.0,205649164,0,429
1998.0,162324750,1,20588
2003.0,121332964,1,101999
2005.0,41008148,0,70205
2006.0,162324750,1,37784
1991.0,41008148,1,58447
1988.0,144133560,1,9386
2005.0,142362112,1,29897
2006.0,138885662,0,7533
1977.0,17744445,1,15937
2007.0,144133560,1,40618
2003.0,205649164,0,13962
1985.0,144133560,1,7897
2001.0,142362112,1,25236
2014.0,121332964,1,146451
1976.0,17744445,1,15352
1994.0,95457728,1,10643
1958.0,127413603,0,505
1930.0,95457728,1,1618
1922.0,15744967,1,671
2017.0,121332964,1,151138
1924.0,127313418,1,1064
1955.0,144024400,0,446
1958.0,33923547,0,234
1892.0,71924100,1,1232
1928.0,138885662,0,184
1916.0,142362112,1,1758
1885.0,192562407,1,60
1991.0,86803240,1,100866
2006.0,86803240,1,225081
1989.0,192562407,1,88930
1933.0,142362112,1,3072
1997.0,192562407,0,29853
1996.0,138885662,0,3703
1908.0,95457728,1,868
1985.0,15744967,0,15575
1943.0,185592680,1,4453
1985.0,205649164,0,4152
1957.0,86803240,0,1909
1936.0,192562407,1,2715
1908.0,127313418,0,43
1934.0,17744445,0,262
1945.0,144133560,1,531
1971.0,33923547,0,1113
1905.0,33923547,1,355
1888.0,205649164,0,26
1897.0,41008148,1,284
