year(Date),FieldOfStudyId,Gender,Authorships
1941.0,127313418,0,108
1990.0,127413603,1,105090
1991.0,127413603,1,109038
2007.0,185592680,1,548493
1991.0,144133560,1,14873
2010.0,144133560,1,78140
2006.0,144133560,1,58897
2002.0,121332964,0,27674
1993.0,192562407,0,22904
1969.0,17744445,1,13593
1983.0,205649164,0,4107
2002.0,162324750,0,10707
1992.0,192562407,0,21440
1939.0,71924100,1,10018
1921.0,138885662,0,90
1957.0,142362112,1,7174
1959.0,71924100,0,4148
1927.0,144024400,1,688
1900.0,95457728,0,119
1897.0,185592680,1,786
1893.0,192562407,1,105
1867.0,121332964,1,83
1961.0,127313418,0,414
1954.0,192562407,0,801
1920.0,162324750,1,269
1924.0,121332964,1,857
1962.0,127413603,0,683
1920.0,138885662,0,100
1999.0,33923547,1,85829
1979.0,142362112,1,20486
1979.0,127413603,1,53126
2016.0,71924100,1,1937474
2013.0,127413603,0,96205
1997.0,95457728,1,12727
1942.0,127413603,1,6996
1945.0,127413603,1,7253
1977.0,39432304,1,9673
1993.0,162324750,1,22493
1944.0,127413603,1,7469
1948.0,41008148,0,320
1973.0,41008148,0,1849
1955.0,205649164,1,2929
1953.0,127413603,1,4634
1931.0,138885662,1,1999
1924.0,142362112,1,3201
1947.0,138885662,0,221
1962.0,86803240,0,3260
1976.0,138885662,0,1518
1945.0,205649164,1,1429
1918.0,205649164,1,790
1871.0,33923547,1,87
1913.0,127413603,1,1197
1887.0,121332964,1,146
1906.0,127313418,1,604
1949.0,205649164,0,450
1998.0,162324750,1,30431
2003.0,121332964,1,204632
2005.0,41008148,0,86995
2006.0,162324750,1,58857
1991.0,41008148,1,99736
1988.0,144133560,1,12570
2005.0,142362112,1,45192
2006.0,138885662,0,9516
1977.0,17744445,1,18884
2007.0,144133560,1,64184
2003.0,205649164,0,18586
1985.0,144133560,1,10456
2001.0,142362112,1,38663
2014.0,121332964,1,362336
1976.0,17744445,1,18141
1994.0,95457728,1,12904
1958.0,127413603,0,532
1930.0,95457728,1,1897
1922.0,15744967,1,778
2017.0,121332964,1,427838
1924.0,127313418,1,1244
1955.0,144024400,0,478
1958.0,33923547,0,239
1892.0,71924100,1,1274
1928.0,138885662,0,190
1916.0,142362112,1,2112
1885.0,192562407,1,62
1991.0,86803240,1,198630
2006.0,86803240,1,567365
1989.0,192562407,1,165966
