year(Date),FieldOfStudyId,AllAuthorships,WosAuthorships
1841.0,71924100,669,311
1890.0,17744445,801,262
1925.0,144024400,1556,807
1841.0,138885662,332,120
1879.0,144133560,104,26
1875.0,144133560,107,28
1837.0,144024400,23,13
1827.0,127313418,79,22
1887.0,33923547,538,166
1830.0,121332964,119,43
1844.0,138885662,374,136
1829.0,17744445,95,39
1802.0,17744445,74,9
1815.0,192562407,99,51
1830.0,71924100,344,127
1811.0,144024400,23,12
1810.0,185592680,33,7
1827.0,121332964,69,14
1840.0,205649164,335,144
1828.0,86803240,115,57
1856.0,192562407,110,37
1865.0,17744445,365,153
1810.0,138885662,190,48
1809.0,95457728,214,135
1828.0,95457728,206,123
1867.0,41008148,214,92
1836.0,17744445,137,38
1854.0,121332964,258,94
1872.0,144133560,101,24
1843.0,15744967,53,16
1843.0,121332964,157,38
1867.0,162324750,42,14
1810.0,39432304,9,4
1817.0,144024400,23,6
1816.0,95457728,166,107
,39432304,153,27
1879.0,162324750,98,28
1857.0,33923547,189,63
1808.0,144133560,12,1
1877.0,15744967,189,76
1819.0,41008148,22,15
1821.0,33923547,21,11
1826.0,205649164,192,108
1807.0,121332964,23,4
1836.0,144024400,47,23
1863.0,39432304,80,16
1831.0,205649164,191,79
1814.0,127413603,28,13
1804.0,86803240,45,21
1867.0,144024400,83,31
1849.0,144024400,51,19
1869.0,15744967,158,74
1833.0,39432304,17,8
1851.0,192562407,69,13
1838.0,17744445,89,23
1838.0,127313418,57,11
1864.0,162324750,42,14
1828.0,192562407,31,14
1833.0,15744967,55,30
1847.0,162324750,30,11
1816.0,185592680,28,6
1844.0,192562407,53,21
1808.0,205649164,88,51
1833.0,144024400,40,18
1834.0,33923547,82,23
1809.0,39432304,16,5
1808.0,121332964,26,12
1811.0,86803240,60,33
1810.0,127313418,14,4
1842.0,162324750,35,14
1824.0,41008148,22,4
1829.0,39432304,17,9
1813.0,144024400,16,8
1805.0,127413603,27,16
1804.0,144024400,15,8
2022.0,142362112,2,1
2022.0,138885662,10,5
2022.0,17744445,2,1
1815.0,144133560,3,2
1908.0,205649164,2871,1010
1892.0,185592680,1851,551
1952.0,41008148,12334,5023
1928.0,121332964,4501,1254
1921.0,95457728,3058,1298
1965.0,39432304,17463,4873
1944.0,192562407,9957,3769
1825.0,95457728,186,101
1914.0,121332964,3743,583
1925.0,15744967,2604,1240
1800.0,15744967,105,55
1854.0,144133560,48,13
2021.0,192562407,321780,86280
1998.0,144024400,70549,35757
1997.0,17744445,119553,47131
2017.0,33923547,750849,263492
1976.0,162324750,15258,9105
1985.0,95457728,32528,17006
1914.0,185592680,5906,2292
1978.0,39432304,60700,11415
1941.0,71924100,22109,11364
1822.0,142362112,888,319
1943.0,33923547,2154,865
1903.0,86803240,2313,759
1950.0,144024400,3767,2028
1933.0,41008148,6449,2508
1884.0,41008148,605,160
1940.0,121332964,4360,1136
1804.0,39432304,10,1
1804.0,95457728,168,89
1920.0,127313418,2983,957
1936.0,33923547,3005,1175
1907.0,127313418,7042,682
1870.0,95457728,943,347
1860.0,127413603,377,128
1839.0,33923547,53,32
1994.0,192562407,944114,254854
2015.0,144133560,546751,138456
2001.0,144133560,141729,53677
2017.0,142362112,594270,55436
1973.0,205649164,26854,10226
1981.0,86803240,245584,97525
1989.0,192562407,730602,181967
2015.0,127313418,959274,183464
1901.0,17744445,1305,424
1907.0,121332964,3851,466
1923.0,144024400,1362,610
1870.0,127413603,569,136
1850.0,162324750,30,9
2013.0,121332964,2647297,423130
1994.0,144133560,60681,24766
1989.0,127313418,119041,32186
1911.0,17744445,2167,805
1856.0,86803240,372,127
1910.0,41008148,6960,995
1906.0,144133560,930,208
1833.0,127313418,50,8
1916.0,39432304,3323,658
1877.0,138885662,1182,378
1884.0,86803240,1008,335
1860.0,205649164,820,242
1866.0,138885662,691,209
1860.0,121332964,318,81
1988.0,41008148,279250,83211
1963.0,127313418,18226,5930
1995.0,138885662,59806,19940
1932.0,15744967,3892,1933
1933.0,86803240,12138,3540
1930.0,95457728,5304,2330
1912.0,86803240,4271,1443
1953.0,162324750,2596,1284
1927.0,162324750,1171,508
1904.0,127413603,3845,698
1829.0,142362112,845,353
1886.0,205649164,1390,512
1852.0,138885662,503,137
1878.0,162324750,82,14
2013.0,127413603,1931221,514362
2019.0,33923547,686767,182052
2019.0,17744445,754960,133725
1938.0,185592680,21741,8667
1918.0,127313418,4205,659
1891.0,41008148,659,188
1902.0,162324750,298,102
1920.0,144024400,905,388
1815.0,121332964,119,61
2018.0,185592680,2786996,956990
2007.0,17744445,333613,107200
1998.0,33923547,200990,93831
1980.0,71924100,504254,142638
1974.0,33923547,39099,17239
1984.0,41008148,173939,47646
1992.0,162324750,40475,24633
1897.0,71924100,5041,1912
1903.0,185592680,4604,1328
1960.0,15744967,15927,8038
1891.0,86803240,1272,447
1909.0,71924100,8004,3205
1897.0,33923547,1245,224
2000.0,86803240,1067662,577426
1975.0,162324750,14042,8543
2002.0,138885662,99738,28729
1950.0,71924100,95810,21456
1943.0,185592680,17360,6951
1922.0,71924100,11852,5253
1972.0,142362112,35075,15351
1921.0,41008148,6645,2414
1926.0,127413603,6090,2340
1955.0,33923547,7189,2735
1893.0,185592680,2128,731
1896.0,205649164,1931,643
1919.0,86803240,4023,1326
1870.0,162324750,70,20
1912.0,17744445,3090,1390
1911.0,121332964,3750,454
1900.0,121332964,2768,357
1888.0,138885662,1909,456
1875.0,39432304,253,30
2012.0,17744445,587111,147658
1990.0,95457728,40795,16535
1986.0,39432304,87280,18594
1982.0,205649164,47228,19186
1981.0,205649164,47937,20107
1967.0,162324750,6443,3507
1967.0,86803240,95101,27118
1940.0,71924100,24164,11603
1899.0,71924100,5125,1921
1853.0,205649164,584,256
1866.0,41008148,190,93
1864.0,205649164,694,238
1885.0,185592680,1557,543
1884.0,121332964,593,165
1916.0,86803240,4039,1344
1800.0,127413603,412,168
1861.0,17744445,417,109
1828.0,138885662,304,90
,17744445,887,201
2007.0,86803240,1639064,945751
1987.0,15744967,97944,61101
2000.0,192562407,1389779,377307
2004.0,205649164,254205,82024
2020.0,39432304,1462805,289078
1999.0,205649164,149763,46223
1973.0,144024400,16439,10764
1971.0,33923547,33189,13822
1991.0,121332964,348971,75835
1969.0,86803240,117731,35166
1981.0,15744967,74408,47890
1939.0,142362112,12724,4832
1966.0,86803240,86607,23909
1826.0,142362112,668,287
1957.0,121332964,23803,5051
1976.0,205649164,33498,13455
1937.0,86803240,13426,4201
1952.0,95457728,8333,3895
1918.0,144024400,789,344
1942.0,142362112,9534,4104
1858.0,192562407,99,18
1879.0,86803240,875,259
1894.0,95457728,1615,631
1848.0,127413603,197,51
1872.0,121332964,413,110
1843.0,39432304,46,18
2020.0,144133560,762683,166685
2004.0,127413603,954086,323258
2012.0,142362112,562690,76579
2008.0,142362112,414373,73410
2011.0,127313418,528995,132470
1979.0,138885662,25630,13053
1943.0,138885662,3691,1699
1900.0,86803240,2789,748
1881.0,41008148,546,160
1900.0,192562407,7785,713
1874.0,86803240,627,219
1839.0,41008148,79,16
1845.0,33923547,65,20
1879.0,41008148,504,125
1854.0,39432304,78,18
2005.0,86803240,1415001,812780
2007.0,205649164,348351,110914
1998.0,71924100,1422825,639744
1994.0,33923547,158492,71816
1988.0,127413603,255727,99020
1926.0,39432304,4224,1560
1916.0,138885662,2400,879
1969.0,127413603,67727,22289
1843.0,17744445,174,35
1936.0,86803240,13649,4019
1911.0,205649164,3157,1011
1874.0,17744445,384,112
1821.0,41008148,20,14
1829.0,86803240,129,66
1845.0,95457728,418,232
1818.0,138885662,264,80
1994.0,185592680,994328,434632
1979.0,39432304,64112,12230
1928.0,205649164,4531,1575
1924.0,127313418,3456,1305
1854.0,144024400,84,26
1870.0,127313418,498,138
2009.0,71924100,3656403,1834433
2011.0,39432304,606303,165956
1922.0,185592680,7640,3505
1939.0,17744445,5996,2973
1903.0,162324750,336,111
1940.0,41008148,5287,2066
1837.0,71924100,468,232
1885.0,86803240,982,338
1874.0,95457728,1042,394
1803.0,95457728,159,95
1845.0,121332964,163,25
1827.0,39432304,25,11
1810.0,71924100,103,15
1882.0,39432304,408,48
1994.0,15744967,144693,85893
1987.0,86803240,419283,184757
1923.0,144133560,1488,558
1901.0,205649164,2184,774
1879.0,71924100,1947,720
1931.0,144133560,2315,871
1874.0,142362112,2923,893
1892.0,192562407,835,117
1861.0,127413603,289,98
1877.0,127413603,637,153
1802.0,95457728,160,91
1805.0,86803240,50,18
2020.0,185592680,3074202,956084
1999.0,15744967,204274,120119
2003.0,71924100,1995777,1003298
1958.0,185592680,98530,31315
1973.0,33923547,37795,16098
1999.0,162324750,68062,41097
1992.0,127413603,339044,129320
1986.0,121332964,237464,50702
1963.0,86803240,63396,17202
1962.0,86803240,57622,15701
1962.0,17744445,14208,7415
1920.0,142362112,9277,2909
1889.0,71924100,3290,1224
1934.0,142362112,11881,4290
1933.0,138885662,5556,2083
1968.0,144024400,10329,6064
1854.0,71924100,983,445
1851.0,127413603,256,71
1948.0,127413603,11991,5469
1922.0,127313418,3181,1121
1813.0,162324750,8,5
1805.0,17744445,39,9
1801.0,17744445,119,9
1845.0,205649164,371,163
1866.0,17744445,272,99
1835.0,121332964,104,25
1818.0,142362112,570,239
2001.0,127413603,746872,266233
1962.0,192562407,85407,24644
1988.0,121332964,260347,59363
1886.0,142362112,7356,1226
1940.0,142362112,10615,4329
1854.0,41008148,255,113
1898.0,138885662,1878,614
1938.0,86803240,13816,4272
1954.0,162324750,2922,1471
1934.0,127313418,3400,1237
1851.0,142362112,2606,1084
1913.0,127413603,5498,1349
1830.0,142362112,1065,427
1846.0,138885662,394,141
,15744967,820,262
1846.0,144024400,56,28
1850.0,144133560,42,8
1859.0,86803240,367,139
1875.0,162324750,90,23
1908.0,15744967,1242,525
1832.0,95457728,269,149
1851.0,185592680,267,61
1836.0,205649164,246,84
1834.0,144024400,78,55
1865.0,33923547,127,45
1815.0,17744445,60,21
1800.0,138885662,382,103
1809.0,192562407,22,5
1812.0,162324750,9,6
1812.0,205649164,83,46
1856.0,121332964,283,87
1845.0,39432304,50,21
1849.0,138885662,387,165
1871.0,121332964,330,99
1847.0,138885662,391,128
1831.0,127313418,64,11
1883.0,15744967,247,94
1889.0,127313418,830,230
1872.0,205649164,847,321
1845.0,162324750,25,11
1824.0,17744445,62,25
1863.0,138885662,582,177
1804.0,205649164,79,37
1825.0,86803240,105,55
1856.0,39432304,68,18
1846.0,127413603,223,73
1839.0,144133560,36,17
1860.0,144133560,83,15
1819.0,205649164,121,52
1822.0,86803240,64,42
1835.0,86803240,127,58
1905.0,162324750,355,128
1800.0,39432304,262,107
1814.0,121332964,25,6
1865.0,41008148,154,61
1864.0,121332964,185,50
1813.0,17744445,55,13
1817.0,144133560,6,2
1822.0,121332964,34,9
1811.0,192562407,19,6
1870.0,144024400,115,35
1843.0,41008148,183,74
1871.0,144024400,81,26
1861.0,39432304,78,18
1855.0,144133560,78,13
1814.0,15744967,19,8
1813.0,41008148,22,11
1807.0,71924100,112,11
1817.0,17744445,69,29
1802.0,127413603,26,10
1801.0,185592680,25,8
1858.0,162324750,47,23
1812.0,121332964,25,9
1819.0,39432304,11,7
1812.0,39432304,14,6
1825.0,127313418,28,8
1807.0,39432304,9,7
1802.0,15744967,18,8
1834.0,39432304,22,15
1804.0,144133560,5,2
1807.0,33923547,10,6
1842.0,39432304,30,9
1827.0,144024400,17,10
1809.0,144133560,9,1
1817.0,39432304,11,2
1844.0,39432304,23,14
2014.0,192562407,4517593,937497
2000.0,33923547,238541,109183
2006.0,162324750,147806,74500
1945.0,162324750,1144,559
1949.0,17744445,7578,3849
1893.0,41008148,1159,211
1970.0,142362112,37765,16716
2003.0,144024400,120632,52888
1954.0,185592680,69950,23152
1971.0,86803240,129352,40438
1980.0,144024400,23400,14809
1885.0,15744967,283,117
1987.0,144133560,34451,14827
1961.0,127413603,24185,7925
1910.0,127413603,5569,1271
1932.0,144133560,2109,820
1860.0,71924100,1047,438
1898.0,144133560,471,104
1868.0,144024400,86,29
1846.0,17744445,263,73
1938.0,138885662,5566,2136
1972.0,185592680,357269,109317
1932.0,86803240,11467,3528
2002.0,15744967,273599,154453
2004.0,95457728,84874,22522
1994.0,95457728,47152,17389
1972.0,95457728,21659,11044
1983.0,138885662,28781,14362
1936.0,192562407,10857,3397
1868.0,142362112,2230,693
1918.0,15744967,1373,664
1909.0,192562407,11051,1066
1848.0,142362112,1225,491
1841.0,185592680,247,81
1800.0,33923547,64,32
,33923547,104,25
1992.0,185592680,924095,391042
1963.0,144024400,6846,3844
2002.0,95457728,74838,20741
1900.0,95457728,2711,973
1899.0,17744445,1320,432
1962.0,39432304,12610,3714
1928.0,192562407,12665,4585
1925.0,142362112,10954,4006
1844.0,205649164,326,136
1933.0,39432304,3508,1081
1952.0,144133560,3972,1528
1921.0,15744967,1886,896
1915.0,127313418,5777,725
1836.0,185592680,274,61
1870.0,185592680,846,171
1820.0,142362112,915,392
1839.0,127313418,112,36
1804.0,71924100,123,9
2012.0,71924100,4732984,2427703
1956.0,15744967,12400,6072
1887.0,205649164,1355,463
1993.0,15744967,139339,83375
1965.0,33923547,18452,6658
1936.0,39432304,3012,695
1900.0,17744445,1393,498
1917.0,33923547,1440,336
1908.0,41008148,6442,876
1872.0,127413603,654,191
1860.0,144024400,69,16
1804.0,142362112,658,221
2003.0,185592680,1415012,636468
2017.0,86803240,2714236,1399693
2011.0,144133560,421631,123275
1990.0,127413603,296443,114061
1939.0,144024400,2590,1352
1912.0,95457728,3650,1733
1981.0,127413603,161382,61648
1929.0,185592680,14435,5976
1922.0,138885662,3978,1554
1844.0,185592680,300,96
1911.0,185592680,6397,2206
1864.0,86803240,376,138
1830.0,138885662,333,116
1916.0,127313418,4719,714
1837.0,33923547,108,40
1877.0,95457728,1027,370
1805.0,162324750,10,6
1973.0,142362112,37734,17524
1849.0,142362112,1522,490
1874.0,127313418,543,159
1929.0,127413603,7008,2633
1824.0,142362112,814,286
1883.0,71924100,2688,1239
1890.0,127313418,832,169
1935.0,39432304,2660,670
1906.0,95457728,3039,1249
1894.0,192562407,2308,149
1939.0,41008148,5412,1936
2013.0,95457728,174708,33193
1944.0,95457728,5805,2796
1932.0,185592680,18266,7452
1984.0,162324750,25061,15866
1897.0,192562407,4610,230
1931.0,41008148,8282,3294
1947.0,39432304,4418,1544
1922.0,127413603,6009,2130
1923.0,142362112,9536,3344
1884.0,144024400,164,71
1859.0,95457728,924,425
1903.0,17744445,1393,457
1897.0,121332964,2051,356
1899.0,121332964,3067,465
1800.0,41008148,424,160
,41008148,319,104
1985.0,71924100,713623,236256
1990.0,192562407,768942,194988
1887.0,95457728,1455,530
1943.0,127413603,15647,7486
1990.0,121332964,339474,70626
1959.0,205649164,10907,4175
1905.0,71924100,6434,2560
1961.0,121332964,37802,7476
1943.0,121332964,3455,821
1832.0,162324750,18,9
1884.0,138885662,1525,348
1878.0,71924100,1884,647
1889.0,17744445,825,281
1887.0,39432304,428,72
2011.0,15744967,783661,368452
2005.0,138885662,134950,35862
2004.0,15744967,340194,186392
2014.0,95457728,177265,31359
1965.0,15744967,25738,13375
1980.0,138885662,27010,13545
1984.0,144133560,27210,11889
1930.0,127313418,4133,1687
1963.0,142362112,24370,11097
1925.0,71924100,14726,6659
1961.0,39432304,12630,3656
1927.0,205649164,4377,1617
1901.0,162324750,339,125
1838.0,142362112,922,381
1939.0,127413603,19569,9289
1908.0,121332964,3733,457
1967.0,144024400,9076,5310
1885.0,39432304,319,41
1947.0,127313418,4031,1710
1951.0,33923547,6433,2201
1836.0,138885662,378,111
1836.0,142362112,1240,372
1928.0,144024400,1677,803
1842.0,185592680,222,58
1850.0,127413603,275,95
2018.0,86803240,2138143,931641
1990.0,185592680,896732,371416
1956.0,95457728,9314,4437
1950.0,17744445,8483,4141
1977.0,192562407,344076,68609
1977.0,144133560,17626,8111
1899.0,138885662,2157,789
1888.0,71924100,3077,1139
1892.0,41008148,775,198
1858.0,86803240,450,173
1872.0,71924100,1603,562
1868.0,86803240,515,213
1978.0,17744445,41089,24483
1976.0,185592680,397184,144317
1955.0,17744445,9821,4686
1984.0,185592680,634206,247117
1979.0,121332964,161612,29387
1967.0,205649164,18543,6783
1997.0,142362112,156597,39459
1901.0,142362112,6932,2043
1915.0,192562407,10012,1340
1957.0,41008148,16094,6653
1903.0,95457728,2320,977
1950.0,127413603,12862,5195
1828.0,71924100,455,173
1882.0,185592680,1469,435
1885.0,144024400,161,60
1865.0,185592680,399,113
1880.0,15744967,239,72
1809.0,33923547,23,8
1877.0,192562407,391,47
1987.0,138885662,36192,16736
2004.0,127313418,278908,89289
1940.0,144133560,2626,1062
1972.0,15744967,46292,28450
1973.0,15744967,49722,31515
1978.0,205649164,40096,16823
1985.0,144024400,27709,17267
1985.0,162324750,26412,17029
1927.0,39432304,4248,1558
1962.0,33923547,13495,4862
1956.0,33923547,7614,2925
1885.0,41008148,571,145
1885.0,71924100,2539,971
1860.0,86803240,447,188
1884.0,142362112,6735,1077
1892.0,71924100,3350,1310
2004.0,192562407,1832614,514779
1953.0,138885662,8697,3739
1994.0,142362112,134370,37120
1988.0,17744445,62899,33549
1945.0,192562407,11774,4560
1927.0,71924100,18542,7981
1935.0,71924100,22559,10083
1946.0,162324750,1372,719
1865.0,138885662,720,266
1967.0,39432304,18960,5453
1945.0,144133560,1826,725
1904.0,17744445,1387,447
1909.0,15744967,1264,521
1905.0,41008148,5784,782
1820.0,95457728,215,132
1870.0,33923547,253,61
1887.0,144024400,214,59
2012.0,121332964,2814555,419506
2017.0,144133560,613520,150955
2010.0,144133560,372632,111911
1965.0,41008148,32309,12562
2021.0,162324750,11330,3780
1917.0,127313418,4431,709
1924.0,121332964,3845,923
1942.0,185592680,18679,8229
1950.0,95457728,8186,3758
1954.0,144133560,4115,1597
1944.0,121332964,3034,837
1933.0,162324750,1337,657
1923.0,41008148,6511,2500
1818.0,95457728,193,111
1849.0,15744967,77,33
2010.0,127313418,492299,142423
1996.0,17744445,110508,44675
2000.0,17744445,165535,61724
2003.0,33923547,295339,138123
1998.0,39432304,160400,47624
1997.0,39432304,151466,42630
1982.0,15744967,76472,50017
1986.0,33923547,86345,35817
1968.0,121332964,85144,14538
1991.0,144133560,45965,18945
1946.0,41008148,7319,3190
1927.0,127413603,6600,2362
1928.0,138885662,5897,2325
1959.0,162324750,3913,2010
1907.0,33923547,2067,381
1906.0,138885662,2909,1000
1929.0,205649164,5054,1813
1978.0,86803240,202540,74913
1940.0,17744445,21426,16223
1970.0,41008148,41828,14700
2003.0,162324750,110372,59058
1954.0,33923547,6860,2492
1916.0,192562407,8449,1248
1977.0,205649164,37402,15447
1840.0,142362112,1347,454
1886.0,121332964,701,171
1908.0,144024400,713,295
1888.0,144024400,188,66
1931.0,39432304,4419,1515
1837.0,127413603,124,49
1889.0,192562407,771,99
1953.0,17744445,9119,4216
1974.0,192562407,182985,50587
1964.0,185592680,169417,50779
1971.0,15744967,43979,27380
1915.0,71924100,8593,3792
1925.0,192562407,11477,4017
1953.0,127413603,14118,5037
1961.0,17744445,13352,6708
1905.0,33923547,2209,415
1849.0,205649164,410,179
1930.0,205649164,5246,1756
1876.0,142362112,3319,895
1871.0,185592680,649,158
1885.0,17744445,1270,162
1853.0,144024400,89,28
1813.0,205649164,103,47
1831.0,15744967,36,14
1810.0,144024400,10,4
1850.0,127313418,188,68
1863.0,33923547,101,24
1854.0,127413603,268,78
1851.0,121332964,243,69
1823.0,127413603,43,20
1812.0,86803240,32,10
1874.0,144024400,101,33
1865.0,39432304,72,20
1803.0,121332964,23,12
1813.0,71924100,138,35
1808.0,95457728,173,103
1883.0,144024400,119,48
1803.0,138885662,211,79
1851.0,33923547,150,47
1883.0,41008148,635,161
1862.0,33923547,112,45
1841.0,127313418,66,24
1838.0,41008148,71,28
1835.0,41008148,67,17
1862.0,39432304,88,15
1848.0,185592680,283,105
1807.0,144024400,15,2
1839.0,121332964,80,30
1852.0,15744967,90,38
1826.0,39432304,17,4
1853.0,192562407,100,27
1817.0,121332964,22,9
1826.0,185592680,56,16
1879.0,15744967,179,72
1815.0,162324750,18,12
1850.0,192562407,114,35
1837.0,162324750,35,9
1813.0,192562407,29,14
1839.0,144024400,37,15
1817.0,192562407,16,5
1814.0,86803240,26,7
1822.0,41008148,31,19
1805.0,127313418,7,3
1848.0,144024400,49,22
1805.0,121332964,16,11
1823.0,33923547,26,15
1808.0,162324750,9,6
1801.0,15744967,22,10
1819.0,15744967,28,14
2022.0,71924100,4,0
1814.0,33923547,22,12
1803.0,144133560,5,2
1808.0,33923547,10,4
1811.0,127413603,34,20
1806.0,192562407,14,5
1806.0,33923547,18,8
1974.0,127413603,97448,37727
2010.0,71924100,3855014,1947192
2016.0,17744445,767399,154675
2000.0,142362112,193526,49242
1980.0,144133560,25683,9685
1910.0,144024400,805,358
1963.0,162324750,4609,2414
1935.0,127413603,16179,7523
1927.0,138885662,5580,2285
1927.0,95457728,4578,2018
1946.0,33923547,2533,982
1912.0,192562407,11329,1059
1840.0,95457728,492,247
1879.0,127413603,772,184
1904.0,41008148,5020,738
1838.0,86803240,181,91
2001.0,71924100,1621407,782845
2018.0,127413603,261362,62213
1988.0,142362112,88103,33973
1976.0,17744445,38377,22372
1951.0,121332964,14474,3448
1898.0,185592680,3013,927
1868.0,17744445,322,107
1942.0,127413603,15392,7443
1868.0,71924100,1410,581
1923.0,127313418,3147,1131
1874.0,15744967,123,50
1874.0,41008148,481,123
1842.0,121332964,88,24
2007.0,127413603,1194974,392897
2004.0,86803240,1330779,768926
1997.0,138885662,66829,21025
1910.0,185592680,5641,2030
1932.0,39432304,4077,1365
1923.0,71924100,13001,6003
1948.0,15744967,6653,3155
1931.0,185592680,17954,7105
1922.0,33923547,1636,591
1885.0,138885662,1704,406
1937.0,144133560,2311,941
1912.0,144133560,1214,326
1868.0,138885662,684,197
1861.0,95457728,797,342
1835.0,95457728,432,225
1850.0,17744445,305,84
1837.0,185592680,283,86
1813.0,86803240,40,15
1882.0,121332964,628,144
2015.0,127413603,1724528,490698
1976.0,121332964,124010,22343
1968.0,127313418,27071,8748
1960.0,142362112,23168,9849
1977.0,142362112,47664,22200
1914.0,144133560,1288,323
1875.0,185592680,894,257
1924.0,144024400,1232,591
1866.0,142362112,2048,674
1944.0,39432304,2261,680
1857.0,142362112,2743,567
1884.0,144133560,155,38
1921.0,127413603,5307,1717
1852.0,144133560,87,20
1899.0,192562407,8303,589
1819.0,185592680,25,9
2000.0,121332964,745603,191900
2008.0,86803240,1761573,1006796
2007.0,185592680,1752692,775628
2019.0,205649164,474460,138934
1931.0,95457728,5403,2420
1996.0,95457728,51514,18128
1930.0,17744445,4413,1989
1929.0,71924100,19469,8674
1956.0,121332964,21126,4928
1951.0,138885662,8076,3491
1932.0,205649164,4798,1785
1919.0,41008148,4792,1379
1893.0,162324750,258,98
1930.0,41008148,8054,3238
1885.0,127413603,1138,227
1883.0,127313418,759,156
1993.0,71924100,1054548,419589
1956.0,185592680,80346,26309
1956.0,86803240,36022,9806
1923.0,39432304,3438,1184
1910.0,138885662,3417,1284
1842.0,138885662,378,126
1841.0,17744445,162,54
1915.0,138885662,2521,977
1860.0,95457728,953,373
1869.0,138885662,829,232
1892.0,127413603,1409,409
1870.0,17744445,371,86
1839.0,17744445,197,49
1860.0,17744445,395,120
1856.0,41008148,184,79
1835.0,127313418,85,36
1815.0,205649164,123,56
1990.0,71924100,978190,351630
2008.0,41008148,1757457,614183
1975.0,121332964,123554,20650
1996.0,192562407,1072546,287540
1975.0,192562407,194305,55038
1963.0,138885662,12892,5818
1890.0,138885662,1647,499
1876.0,127313418,567,149
1908.0,39432304,3237,439
1876.0,162324750,89,25
1987.0,95457728,35512,18063
2004.0,144133560,190054,68285
1939.0,86803240,13416,4267
1988.0,144133560,37058,15869
1969.0,127313418,28561,8868
1963.0,121332964,46652,8957
1919.0,144024400,788,337
1936.0,41008148,4760,1742
1955.0,39432304,8685,2857
1942.0,86803240,11936,4161
1910.0,205649164,3257,1117
1944.0,142362112,8697,3610
1947.0,144133560,2662,973
1936.0,127313418,3308,1298
1880.0,39432304,301,46
1809.0,17744445,68,29
1808.0,71924100,131,21
1867.0,142362112,2117,593
2008.0,185592680,1840233,811249
2008.0,192562407,2327072,632539
1936.0,95457728,5719,2512
2001.0,205649164,186402,59140
1906.0,185592680,5088,1696
1954.0,86803240,32375,8773
1924.0,142362112,10799,3660
1943.0,17744445,5329,2612
1940.0,205649164,7122,2330
1918.0,95457728,3572,1325
1870.0,138885662,925,275
1958.0,39432304,10244,3273
1935.0,127313418,3520,1310
1881.0,205649164,1126,420
1898.0,71924100,5770,2207
1875.0,95457728,1161,405
1911.0,192562407,11647,1174
1907.0,39432304,3240,362
1873.0,192562407,333,52
1876.0,39432304,328,40
2008.0,33923547,485020,218708
1974.0,185592680,364018,132659
1974.0,121332964,117532,20126
1981.0,127313418,82505,19501
1951.0,41008148,12119,4859
1963.0,41008148,26268,10510
1980.0,127313418,76139,18491
1935.0,17744445,4768,2189
1929.0,192562407,13954,4921
1939.0,121332964,5311,1340
1956.0,39432304,9431,3211
1909.0,17744445,1835,723
1934.0,192562407,12548,4098
1926.0,192562407,11878,4172
1812.0,127413603,29,16
1857.0,71924100,1114,476
1851.0,205649164,427,192
1894.0,144024400,346,145
1836.0,39432304,22,7
2007.0,41008148,1593153,583904
2005.0,41008148,1389164,516999
2021.0,15744967,72037,30031
2005.0,17744445,270214,91000
1998.0,121332964,640437,155290
1972.0,86803240,134337,44496
1949.0,71924100,68549,17213
1968.0,41008148,37676,14981
1982.0,144133560,23478,10610
1966.0,33923547,21275,7843
1981.0,138885662,27904,13977
1929.0,39432304,4433,1687
1924.0,192562407,10368,3513
1869.0,71924100,1402,540
1889.0,205649164,1590,556
2009.0,185592680,1947223,843183
1943.0,41008148,4456,1758
1964.0,17744445,16187,8439
1975.0,138885662,20732,10615
1957.0,33923547,8259,3001
1949.0,33923547,4494,1664
1946.0,86803240,13311,3788
1946.0,205649164,4846,1866
1944.0,17744445,5134,2787
1920.0,162324750,732,300
1891.0,144133560,242,70
1946.0,15744967,5478,2463
1872.0,138885662,998,263
,86803240,420,161
1991.0,71924100,983344,371478
2019.0,127413603,244579,37228
1999.0,185592680,1175145,544544
1996.0,127313418,169594,47673
2005.0,127313418,290722,93201
2013.0,33923547,692789,278993
1995.0,39432304,138514,36887
1980.0,192562407,436512,84200
1832.0,205649164,174,78
1812.0,17744445,81,23
1898.0,15744967,768,347
1853.0,95457728,765,270
1843.0,95457728,446,214
2002.0,192562407,1604394,438585
2018.0,205649164,458093,140839
2012.0,95457728,169817,32281
1993.0,127313418,135284,38562
1895.0,185592680,2466,807
1965.0,17744445,17824,9373
1977.0,127313418,55342,14335
1940.0,86803240,20528,4618
1965.0,192562407,118201,32565
1948.0,41008148,9100,4001
1934.0,95457728,5293,2295
1926.0,121332964,4050,1124
1815.0,138885662,299,127
1861.0,192562407,112,28
1898.0,86803240,1713,634
1891.0,127413603,1276,293
1894.0,144133560,538,88
1989.0,71924100,921321,327174
1991.0,127413603,312839,119035
1991.0,41008148,353753,113773
2011.0,205649164,536507,157561
2011.0,33923547,596884,253734
2016.0,15744967,1164400,493102
2008.0,17744445,385833,118252
1971.0,185592680,329943,95953
2000.0,162324750,81615,45678
1975.0,144133560,14245,6931
1905.0,142362112,8062,2156
1918.0,121332964,2265,415
1889.0,185592680,1804,656
1857.0,95457728,790,337
1902.0,127413603,4140,751
1883.0,86803240,1013,347
1905.0,121332964,3557,437
1872.0,127313418,507,118
1825.0,15744967,38,19
2018.0,138885662,328047,39091
2008.0,205649164,403012,128524
1961.0,41008148,22142,8857
1951.0,71924100,108972,22679
