year(Date),FieldOfStudyId,AllAuthorships,WosAuthorships
1991.0,142362112,101369,31331
1976.0,95457728,25352,13423
1912.0,33923547,2062,366
1900.0,205649164,2753,891
1939.0,162324750,2122,993
1925.0,33923547,1788,636
1807.0,142362112,478,206
1870.0,144133560,120,33
1921.0,127313418,2989,1058
1876.0,205649164,952,332
2013.0,144133560,488967,134171
1983.0,185592680,602038,230619
2002.0,41008148,1011254,362211
1970.0,71924100,289992,58013
2007.0,144133560,259499,89779
1964.0,192562407,104742,29224
2004.0,162324750,121913,64002
1969.0,41008148,38002,13918
1995.0,144024400,55749,29528
2006.0,127313418,317747,102882
1933.0,185592680,19762,7515
1986.0,205649164,64120,22919
1960.0,144133560,6432,2555
1957.0,39432304,10051,3220
1947.0,121332964,5697,1642
1935.0,138885662,5538,2188
1921.0,71924100,10213,4409
1905.0,185592680,4979,1645
1899.0,185592680,3511,989
1850.0,142362112,2502,837
1960.0,33923547,11794,4043
1896.0,41008148,3273,307
1927.0,144133560,1975,716
1842.0,95457728,396,168
1877.0,17744445,493,107
1847.0,86803240,137,63
1868.0,127313418,385,124
1881.0,144133560,131,22
1808.0,17744445,54,22
2017.0,185592680,2592982,988425
2016.0,71924100,6093825,3122205
2004.0,71924100,2286709,1139820
2016.0,162324750,291595,115183
2010.0,138885662,212285,45490
1981.0,185592680,561826,209799
1997.0,192562407,1121256,306012
2007.0,142362112,354088,69935
1907.0,142362112,7995,2155
2000.0,127313418,208655,62537
1985.0,144133560,29218,12836
1974.0,71924100,333361,81622
1921.0,142362112,8984,3012
1964.0,144133560,6711,2773
1952.0,192562407,36110,11226
1893.0,17744445,997,313
1910.0,192562407,11093,1084
1838.0,95457728,370,185
1813.0,33923547,27,10
1867.0,127413603,420,120
1825.0,205649164,208,86
1801.0,95457728,165,106
,71924100,840,318
1824.0,127413603,69,40
1826.0,121332964,49,15
1809.0,138885662,216,55
1876.0,192562407,392,55
1845.0,192562407,90,26
1830.0,95457728,314,158
1866.0,144024400,81,27
1853.0,39432304,73,29
1823.0,121332964,40,14
1877.0,121332964,461,115
1857.0,127313418,200,56
1806.0,205649164,90,42
1861.0,144133560,55,8
1850.0,185592680,270,62
1886.0,15744967,301,133
1888.0,144133560,197,43
,192562407,341,105
1845.0,144133560,28,13
1852.0,121332964,229,53
1823.0,86803240,80,38
1816.0,17744445,57,25
1834.0,144133560,31,12
1887.0,162324750,140,59
1851.0,162324750,33,11
1871.0,15744967,136,57
1819.0,138885662,236,92
1873.0,39432304,294,40
1816.0,192562407,37,13
1818.0,185592680,37,22
1807.0,162324750,9,7
1844.0,144024400,56,30
1819.0,71924100,108,38
1872.0,144024400,112,40
1803.0,205649164,91,41
1801.0,41008148,18,4
1831.0,86803240,87,51
1834.0,162324750,19,9
1846.0,121332964,175,41
1815.0,41008148,46,23
1834.0,127413603,87,53
1873.0,144133560,84,18
1819.0,144024400,16,10
1845.0,144024400,46,21
1823.0,185592680,27,7
1872.0,33923547,228,88
1857.0,144133560,64,13
1832.0,144133560,14,3
1871.0,162324750,62,12
1812.0,144024400,21,8
1881.0,162324750,111,34
1832.0,127313418,29,14
1805.0,33923547,18,10
1821.0,162324750,13,9
1822.0,15744967,25,21
1814.0,41008148,30,15
1852.0,144024400,67,20
1803.0,192562407,30,11
1812.0,41008148,30,21
1841.0,33923547,57,21
1816.0,144133560,9,2
1841.0,39432304,23,6
1801.0,162324750,11,6
1811.0,41008148,22,11
1827.0,144133560,7,2
1866.0,162324750,43,15
1811.0,39432304,8,2
1806.0,127313418,11,6
1818.0,144133560,7,3
1820.0,144024400,16,9
1825.0,144024400,16,12
1843.0,144133560,27,9
1816.0,39432304,7,1
1801.0,144024400,6,1
1807.0,127313418,12,4
1819.0,144133560,8,3
1823.0,144133560,1,1
2015.0,185592680,2561064,999247
2015.0,121332964,2994313,459131
2008.0,127413603,1305171,416907
2015.0,39432304,976313,223496
2009.0,138885662,197167,44221
1996.0,39432304,144861,40466
1972.0,205649164,24744,9227
1966.0,95457728,15957,7924
1967.0,185592680,221083,68424
1963.0,192562407,91326,26099
1909.0,95457728,3037,1228
1977.0,138885662,22453,11485
1952.0,86803240,27142,7326
1881.0,142362112,4512,987
1965.0,162324750,5509,2824
1850.0,71924100,973,485
1888.0,127413603,1190,261
1854.0,15744967,104,59
1881.0,144024400,115,43
1876.0,127413603,687,166
1993.0,86803240,648219,323631
2010.0,121332964,1571890,365342
