AuthorId,PageRank,PageRank05,InDegreeStrength,InDegree,OutDegreeStrength,OutDegree,Gender,Rank,AuthorId.1,Rank.1,NormalizedName,DisplayName,LastKnownAffiliationId,PaperCount,PaperFamilyCount,CitationCount,CreatedDate,DisplayName.1
2023750619,0.0031378951,0.0013312405,54051.016,49020.0,1517.5,748.0,1,10911,2023750619,10911,eugene f fama,Eugene F. Fama,40347166.0,146,142,142774,2016-06-24,Eugene F. Fama
2585687038,0.0028478575,0.0010735838,44397.887,48749.0,6732.381,3392.0,1,10983,2585687038,10983,joseph e stiglitz,Joseph E. Stiglitz,78577930.0,1163,1106,116153,2017-02-10,Joseph E. Stiglitz
548446481,0.0026423256,0.0010861412,59673.32,40820.0,2469.8027,1093.0,1,11378,548446481,11378,robert j barro,Robert J. Barro,136199984.0,551,505,76938,2016-06-24,Robert J. Barro
2293679170,0.0024406582,0.0008811171,43244.74,35847.0,1549.1837,1183.0,1,11693,2293679170,11693,robert e lucas,Robert E. Lucas,40347166.0,204,196,61087,2016-06-24,Robert E. Lucas
1777097624,0.0024247689,0.00082451786,23844.074,22102.0,874.0,471.0,1,11660,1777097624,11660,paul a samuelson,Paul A. Samuelson,63966007.0,466,452,42880,2016-06-24,Paul A. Samuelson
2126675098,0.002056708,0.0009266194,35671.74,34202.0,560.33405,760.0,1,11366,2126675098,11366,gary s becker,Gary S. Becker,40347166.0,234,213,99936,2016-06-24,Gary S. Becker
1958827600,0.001914827,0.00078209775,27164.512,24704.0,1217.8241,696.0,1,11898,1958827600,11898,robert c merton,Robert C. Merton,63966007.0,160,152,50643,2016-06-24,Robert C. Merton
2084647615,0.0019118643,0.000606489,22031.613,14903.0,2758.624,1129.0,1,11989,2084647615,11989,martin feldstein,Martin Feldstein,136199984.0,680,609,26419,2016-06-24,Martin Feldstein
1830319489,0.0018804044,0.0006211427,17022.695,14754.0,7.051282,19.0,1,12009,1830319489,12009,john maynard keynes,John Maynard Keynes,241749.0,714,710,37664,2016-06-24,John Maynard Keynes
290705619,0.0018658,0.000695897,21180.764,27884.0,639.9408,716.0,1,11164,290705619,11164,kenneth j arrow,Kenneth J. Arrow,97018004.0,481,467,74970,2016-06-24,Kenneth J. Arrow
2012377754,0.0018318223,0.0009162753,49231.277,31015.0,1264.0,576.0,1,11553,2012377754,11553,paul krugman,Paul Krugman,20089843.0,398,376,73734,2016-06-24,Paul Krugman
1965572909,0.0018035164,0.00059380813,27679.473,15704.0,3374.0208,1222.0,1,11708,1965572909,11708,robert j shiller,Robert J. Shiller,32971472.0,314,286,33623,2016-06-24,Robert J. Shiller
2133978842,0.0017272739,0.0005262165,25220.127,18893.0,2629.3,999.0,1,12036,2133978842,12036,robert e hall,Robert E. Hall,97018004.0,242,228,28660,2016-06-24,Robert E. Hall
2328689955,0.0015211783,0.000516257,18587.943,18334.0,197.28462,183.0,1,11845,2328689955,11845,milton friedman,Milton Friedman,97018004.0,380,372,50343,2016-06-24,Milton Friedman
2397423007,0.001322708,0.00048321384,33472.99,24635.0,4898.2744,1682.0,1,11754,2397423007,11754,john y campbell,John Y. Campbell,136199984.0,302,258,53809,2016-06-24,John Y. Campbell
2159466601,0.0012856533,0.00043589587,19330.66,24878.0,1513.2084,1139.0,1,11759,2159466601,11759,lawrence h summers,Lawrence H. Summers,136199984.0,245,225,38952,2016-06-24,Lawrence H. Summers
727612727,0.0012385726,0.0005683025,32995.023,44606.0,2036.3336,1993.0,1,10853,727612727,10853,andrei shleifer,Andrei Shleifer,136199984.0,352,292,156603,2016-06-24,Andrei Shleifer
175732617,0.0012080102,0.00047780486,16837.701,18554.0,748.925,608.0,1,11899,175732617,11899,zvi griliches,Zvi Griliches,136199984.0,187,171,43332,2016-06-24,Zvi Griliches
1877272218,0.0011852998,0.00051446987,23496.35,27217.0,2907.4744,1713.0,1,11463,1877272218,11463,james j heckman,James J. Heckman,40347166.0,569,498,105649,2016-06-24,James J. Heckman
2163419371,0.0011816631,0.00044898465,14796.059,22749.0,623.2242,426.0,1,11921,2163419371,11921,stephen a ross,Stephen A. Ross,63966007.0,131,126,42415,2016-06-24,Stephen A. Ross
2042602993,0.0011735103,0.0005320307,15076.861,15099.0,77.5,83.0,1,12328,2042602993,12328,ronald h coase,Ronald H. Coase,40347166.0,143,123,39509,2016-06-24,Ronald H. Coase
2685951835,0.0011710669,0.00013092472,2082.4167,2489.0,1.0,1.0,-1,14404,2685951835,14404,a w phillips,A. W. Phillips,909854389.0,7,7,2547,2017-06-30,A. W. Phillips
2612173084,0.0011036958,0.0003442124,13827.267,8148.0,3489.8555,1014.0,1,12635,2612173084,12635,robert j gordon,Robert J. Gordon,111979921.0,286,274,12494,2017-05-19,Robert J. Gordon
2119427290,0.0011036866,0.00048971205,14155.82,22355.0,239.0,196.0,1,11892,2119427290,11892,fischer black,Fischer Black,63966007.0,64,61,37892,2016-06-24,Fischer Black
2135535751,0.0010982172,0.00041003362,11980.408,15991.0,201.53334,247.0,-1,11997,2135535751,11997,merton h miller,Merton H. Miller,40347166.0,93,88,27810,2016-06-24,Merton H. Miller
2153576001,0.0010905173,0.00048822604,26835.293,29445.0,671.9861,557.0,1,11790,2153576001,11790,kenneth r french,Kenneth R. French,107672454.0,89,87,71186,2016-06-24,Kenneth R. French
2106981306,0.0010738827,0.00042950237,27886.86,24679.0,1920.039,1359.0,1,12009,2106981306,12009,olivier j blanchard,Olivier J. Blanchard,149640151.0,316,271,41040,2016-06-24,Olivier J. Blanchard
