index,rND,rKL,rRD,equal_ex
0,0.06877419357351493,0.006369935468641636,0.1912378417439695,0.9976392232312683
1,0.08165917554693718,0.008162521043953246,0.21500504339069626,0.9971985273279222
2,0.09104315059982745,0.009716955441967882,0.2310828552801437,0.9969379787114196
3,0.09495781033580297,0.010446237858727588,0.23520706997676885,0.996919135998142
4,0.09793988057140283,0.011136830778865781,0.23793472771187135,0.9969386902044285
5,0.09891809918193985,0.011409443756243242,0.2367856962205454,0.997029664307416
6,0.10329803297538667,0.012498133604267735,0.24317334604862026,0.9970156357776222
7,0.11037461261199934,0.014311466654441633,0.255067825995493,0.9969192009218879
8,0.11523907803215688,0.015621954351652744,0.2630433007870134,0.9968608693898324
9,0.11872487067941437,0.016331255554968373,0.2677975312962203,0.9968252020963758
10,0.12306290673447692,0.017455999297790282,0.2741342013784498,0.9967751773466098
11,0.13022184613744256,0.019383084152229262,0.28637765436610046,0.9966223909923718
12,0.1354009794871887,0.020748748279761087,0.29473286860513054,0.9965316585055651
13,0.13892720822900612,0.02180217070613242,0.2997956589498893,0.9964905073161225
14,0.14441282881563242,0.023339100899066025,0.30829455164613173,0.9963820880471391
15,0.1462064094949893,0.023710301029928802,0.3109721014636246,0.9963502755023382
16,0.14856151202977289,0.024677301919002085,0.3143899412384744,0.9963288030978174
17,0.15096976530744122,0.025471342950392304,0.31759370470097953,0.9963174027998608
18,0.1518544928543203,0.025575474521840467,0.31883745804133723,0.9963147217292901
19,0.15369723109360836,0.02640524662930812,0.32059992861523207,0.9963218860413874
20,0.1570015855717905,0.02762176982600169,0.3251668925602275,0.9962779732466034
21,0.15739591992812615,0.02784308729237935,0.3252097255158472,0.9962993633009811
22,0.16068937093511007,0.028626290370716574,0.33035182975813837,0.9962183511497812
23,0.16293939548139483,0.0292714714244325,0.33347572455368585,0.9961816932844055
24,0.16400748388936034,0.02992314896043857,0.33488189019636905,0.9961912544848579
25,0.16506390223425696,0.030231854553701105,0.33559537696532715,0.9961691933908836
26,0.1679334128218692,0.03111646397348591,0.3391770358299383,0.99609498183662
27,0.16736194171435317,0.03102476689703309,0.33754945560229743,0.9961408761264785
28,0.16460647410811086,0.030493172527741693,0.33234937823103067,0.9962712979721462
29,0.16184866123582184,0.02953468543413221,0.32756424408958357,0.9963417077750664
30,0.16032013478499257,0.02935309433579663,0.32542723540722696,0.9963939540966593
31,0.15824368754067583,0.02868992907691655,0.32151482283091726,0.9964494061538622
