rND	rKL	rRD	equal_ex	centrality	type	iteration
0.17735542771782103	0.04293232765946164	0.3007927339235297	1.158617662200513	PageRank	true	0
0.21959867876566586	0.0576598767250352	0.3189928044673217	1.158281899515383	PageRank	random	0
0.041659982675719756	0.003573872147356863	0.062486977189350756	0.9988119648430288	PageRank	matched	0
0.1658668249081388	0.03792151818862737	0.28337647314080583	1.1131900825612433	PageRank05	true	0
0.2047703875100272	0.05071388960778613	0.3010073305793654	1.112920357787626	PageRank05	random	0
0.042817307228864225	0.003690549210931903	0.06434395211034562	1.0074574289435383	PageRank05	matched	0
0.10743047353366347	0.02022545671566236	0.18819451080025912	1.1226860519594173	InDegreeStrength	true	0
0.13108786032929692	0.02670880926954224	0.20045096254138642	1.1177952456215117	InDegreeStrength	random	0
0.040398497847907534	0.0034951456819753038	0.05581705599644532	0.9786706486759381	InDegreeStrength	matched	0
0.17014482801489159	0.03818733133481899	0.29118291561600274	0.9976964414317978	Rank	true	0
0.21032030842701577	0.05114238108894581	0.3098663221537164	0.9976971444858377	Rank	random	0
0.14177147548189545	0.022261323004575843	0.2242517015379816	0.998482763130862	Rank	matched	0
0.17738282254413368	0.042917946719561256	0.3007927339235297	1.158617662200513	PageRank	true	1
0.22010455601746517	0.05805006933864918	0.3195073665431267	1.1585809348629657	PageRank	random	1
0.04108723919607929	0.0033934370637347046	0.06181044548697574	0.9990121854224612	PageRank	matched	1
0.16587075946658805	0.037918416902493035	0.28337647314080583	1.1131900825612433	PageRank05	true	1
0.20527915069916983	0.051082050623602174	0.30152248467182563	1.113135487773438	PageRank05	random	1
0.04231607681753556	0.003527327197429379	0.06379465980327857	1.0075586251111834	PageRank05	matched	1
0.10743344401936565	0.020216174837644922	0.18819451080025912	1.1226860519594173	InDegreeStrength	true	1
0.13205696873070288	0.027115133159558984	0.20173534952876293	1.1191973995449052	InDegreeStrength	random	1
0.03944646255005736	0.0032941098684313576	0.054536032098165016	0.9767116662500936	InDegreeStrength	matched	1
0.17015221637841277	0.038180120115987135	0.29118291561600274	0.9976964414317978	Rank	true	1
0.21085021120930014	0.05146073696940431	0.3104076136868877	0.9976921002433896	Rank	random	1
0.14133276550854942	0.02210858475156168	0.22365464782625052	0.9984878435710987	Rank	matched	1
0.17736465126678522	0.04291200336096861	0.3007927339235297	1.158617662200513	PageRank	true	2
0.21994952140525226	0.05803761138712698	0.3192300292693852	1.158072649951397	PageRank	random	2
0.04116825044954953	0.003406144113262639	0.061749989034278016	0.9986691757145569	PageRank	matched	2
0.1658593837325845	0.037914648045840084	0.28337647314080583	1.1131900825612433	PageRank05	true	2
0.20506119473678064	0.05105239838837139	0.30115576310016523	1.112882637504496	PageRank05	random	2
0.04233310007465204	0.003541609598283793	0.0636198854776802	1.0073035002395805	PageRank05	matched	2
0.10742602989015916	0.020218291832880497	0.18819451080025912	1.1226860519594173	InDegreeStrength	true	2
0.13209910326061208	0.0271624528077518	0.20170624952598804	1.123619059227967	InDegreeStrength	random	2
0.039620169807763186	0.0032419510890585768	0.05477047171102884	0.9788414998967495	InDegreeStrength	matched	2
0.17015105784248938	0.03818294098326706	0.29118291561600274	0.9976964414317978	Rank	true	2
0.21033437936434773	0.0513900851766541	0.3095881284509859	0.997701310113942	Rank	random	2
0.14146362150336822	0.022144683253905822	0.22384390827328185	0.9984866920333607	Rank	matched	2
0.17736665242427058	0.04291138710748357	0.3007927339235297	1.158617662200513	PageRank	true	3
0.21949199305855988	0.057910681003173745	0.3185705184668941	1.1573246962055102	PageRank	random	3
0.04160622721815309	0.0035675971711338233	0.06227334697798875	0.9985994742677111	PageRank	matched	3
0.1658579775556532	0.03791781023282336	0.28337647314080583	1.1131900825612433	PageRank05	true	3
0.2046608402481459	0.0509414443444039	0.3005920802915752	1.1125083791441681	PageRank05	random	3
0.04271890240496943	0.003703264668555756	0.06401926326940335	1.0072513780505408	PageRank05	matched	3
0.10743706497179258	0.020225429750207795	0.18819451080025912	1.1226860519594173	InDegreeStrength	true	3
0.13122150544117558	0.026903445170831153	0.2004527031598447	1.1209423578211262	InDegreeStrength	random	3
0.04054430834117634	0.003459840825986593	0.055950985082107434	0.9769638941932123	InDegreeStrength	matched	3
0.1701550521482883	0.038187885951638106	0.29118291561600274	0.9976964414317978	Rank	true	3
0.2105619504428837	0.051321378941243376	0.31007130280813566	0.9976955682481626	Rank	random	3
0.1418794436271309	0.02230087841994395	0.2243712461472876	0.9984825240286672	Rank	matched	3
0.1773621279856649	0.0429059243482009	0.3007927339235297	1.158617662200513	PageRank	true	4
0.2203233799676834	0.05833645898299143	0.3196358929913739	1.158526925422925	PageRank	random	4
0.04146508355955334	0.003455264540050145	0.06244670368169298	0.9990533134264935	PageRank	matched	4
0.16585505576447476	0.03791595932899413	0.28337647314080583	1.1131900825612433	PageRank05	true	4
0.20552819554088506	0.051339578654532494	0.3017267983875148	1.11318397054983	PageRank05	random	4
0.04258570851740373	0.0036013377634452116	0.06425142116624148	1.0075978214728305	PageRank05	matched	4
0.10742600589457338	0.020212716742693208	0.18819451080025912	1.1226860519594173	InDegreeStrength	true	4
0.1319558984155328	0.027264342539577914	0.2014119635862267	1.1240136817426283	InDegreeStrength	random	4
0.039908801543720264	0.0032920382916197147	0.05555516663980821	0.975786974379764	InDegreeStrength	matched	4
0.1701451387093162	0.038179528217051645	0.29118291561600274	0.9976964414317978	Rank	true	4
0.2105699126927771	0.05145013524541568	0.30996786515429164	0.9976962820755976	Rank	random	4
0.1417234171855917	0.02214421270909346	0.22429503634465242	0.99848129258127	Rank	matched	4
0.17737071447799863	0.04293438167942152	0.3007927339235297	1.158617662200513	PageRank	true	5
0.2197599123253403	0.05778126979777005	0.3192067266801115	1.1586264523538443	PageRank	random	5
0.04165644660451851	0.0035891035382093475	0.062473623827904154	0.9988872615109172	PageRank	matched	5
0.16585693245582908	0.037918179364326274	0.28337647314080583	1.1131900825612433	PageRank05	true	5
0.2048942164593237	0.050815093617016124	0.301187359358641	1.1130172660491597	PageRank05	random	5
0.04288712254228198	0.003749167024614591	0.06439066732856188	1.0074670872886715	PageRank05	matched	5
0.10743421466660225	0.02021620594122346	0.18819451080025912	1.1226860519594173	InDegreeStrength	true	5
0.1315863150708602	0.026912860522144914	0.20116642406378132	1.1189184700952282	InDegreeStrength	random	5
0.040464813573360965	0.0034888184895166606	0.05584935708573771	0.9749682157988284	InDegreeStrength	matched	5
0.17016000029719988	0.03818293799233223	0.29118291561600274	0.9976964414317978	Rank	true	5
0.20996450622676885	0.051094341514413624	0.30926039929816695	0.9977041024672793	Rank	random	5
0.14203556139982373	0.022375474091115472	0.22456649709500254	0.9984801316182979	Rank	matched	5
0.1773700139726883	0.04289911782012237	0.3007927339235297	1.158617662200513	PageRank	true	6
0.22024243312299774	0.05831707952791379	0.3194720719811447	1.158109417739526	PageRank	random	6
0.040898889352987855	0.0034784846739823686	0.06096598678720626	0.9981163594883471	PageRank	matched	6
0.16586036216697608	0.03791900970238954	0.28337647314080583	1.1131900825612433	PageRank05	true	6
0.20550973541090187	0.05137636341805091	0.30162157341854723	1.1130986587208154	PageRank05	random	6
0.04204410682954282	0.003636543005774618	0.06282383907478178	1.006897419359598	PageRank05	matched	6
0.10742562167949347	0.020231276510724393	0.18819451080025912	1.1226860519594173	InDegreeStrength	true	6
0.13187510045660392	0.027279246227131838	0.201231591488881	1.1204869852728017	InDegreeStrength	random	6
0.03924126477857207	0.0033074655286141215	0.05362788661791402	0.9746363466618496	InDegreeStrength	matched	6
0.17014617868586482	0.038200136964415675	0.29118291561600274	0.9976964414317978	Rank	true	6
0.21098356562027362	0.05153463287552759	0.31053854555261406	0.9976912720776662	Rank	random	6
0.14236423661850534	0.022594863095894344	0.22488779078297133	0.9984781352843219	Rank	matched	6
0.17737159712664638	0.042910752612129247	0.3007927339235297	1.158617662200513	PageRank	true	7
