index,centrality,rND,rKL,rRD,equal_ex
0,PageRank,0.0870651464802534,0.011786650832010881,0.20428061806919212,1.0859089125515529
0,PageRank05,0.09118327975612414,0.013201587870335752,0.21322010184863363,1.0649481578254318
0,InDegreeStrength,0.05723286010411833,0.006387361125661328,0.13567516737259516,1.1208471788959347
0,Rank,0.09563405715516846,0.013537173606824576,0.22405825613982644,0.9978841179806694
1,PageRank,0.09954875284196148,0.014886580781997795,0.2231937716931536,1.0842096046122072
1,PageRank05,0.10445642568729487,0.016575208229123197,0.23337123093454298,1.0628510093485641
1,InDegreeStrength,0.07437190134114047,0.009643717978109681,0.16833369969416875,1.090101901938499
1,Rank,0.11358799707801762,0.016573897629226796,0.2549514280753808,0.9974024271808862
2,PageRank,0.10713502577146752,0.016640187265933533,0.23365715672301762,1.0811737995481958
2,PageRank05,0.11151316041282876,0.01825957488604082,0.24235359837357995,1.0594125974855633
2,InDegreeStrength,0.08694285487194303,0.012158562011697262,0.1911057003388924,1.0935721364966866
2,Rank,0.11879056041024691,0.017329541382080912,0.2599287324653489,0.9972896743810125
3,PageRank,0.11070908256398225,0.01772596893482956,0.23607707465769662,1.0782006187039985
3,PageRank05,0.11472471907114966,0.019394110350779824,0.24373637218012978,1.0565453645273906
3,InDegreeStrength,0.09574835427400222,0.014072289354377047,0.20551648860901933,1.0942688011979353
3,Rank,0.12240992112162832,0.01823033164235819,0.2619816789182561,0.9972497245202864
4,PageRank,0.11558495559249266,0.019006143600700968,0.24139165823988618,1.0781750866579518
4,PageRank05,0.11916158284101079,0.020586523522279663,0.24799074484701059,1.0559865967815831
4,InDegreeStrength,0.10274828912205775,0.015728616245194314,0.21585665334626836,1.099281493730203
4,Rank,0.12431202911057515,0.01877078905148059,0.26086052146370314,0.9972639172955166
5,PageRank,0.12080653017325563,0.0204676330705235,0.24744486833511417,1.0768763340551637
5,PageRank05,0.12429998177489296,0.021962745602364393,0.25383523043095557,1.0548424041632998
5,InDegreeStrength,0.10784891161308423,0.016996925069713856,0.22234306675041737,1.0959940913799742
5,Rank,0.12670731018162912,0.01978006362729542,0.2608708924951685,0.9972801659766775
6,PageRank,0.12123651526522325,0.020570201748134415,0.24409568831698175,1.0715412736440593
6,PageRank05,0.1250050071290422,0.022164591889008007,0.25084626638999125,1.051061168106872
6,InDegreeStrength,0.11201044442899415,0.01793794876525125,0.2267134764182807,1.102703510659843
6,Rank,0.12856776012406307,0.020733653068848536,0.2596371339169363,0.9973286753025419
7,PageRank,0.1192820688437288,0.020146753355380895,0.23577444756690238,1.0659676642025597
7,PageRank05,0.12360828322292021,0.021911384704824004,0.24344531345179782,1.047434394417219
7,InDegreeStrength,0.11311480769117406,0.01832519246840507,0.22457170605397975,1.093653203860963
7,Rank,0.13195325892298448,0.022191833290615668,0.26059024734243325,0.9973669329264964
8,PageRank,0.12000384991292268,0.02046891010749979,0.2329383641824057,1.06359366574422
8,PageRank05,0.1251237586906401,0.022428373619749573,0.24180952426604693,1.0459602138553195
8,InDegreeStrength,0.11257070057167455,0.018184819850535636,0.21968356549659163,1.095717308213117
8,Rank,0.13715743365249228,0.024132870160718703,0.26515415164573747,0.9973622245038849
9,PageRank,0.1207780694525146,0.02078990939137821,0.23103692099879128,1.0610343447961588
9,PageRank05,0.12592281655377746,0.022798800046548197,0.23991287640355252,1.0440994811061735
9,InDegreeStrength,0.11374233066369502,0.018510200846893667,0.21886801725824734,1.0892648448621147
9,Rank,0.14157811074027507,0.025958439428977294,0.2689813893575776,0.9973710874036068
10,PageRank,0.12276196854198398,0.021575824017304977,0.2314398751022655,1.0599067803352482
10,PageRank05,0.12755786372323147,0.02343103535591039,0.2395691513975714,1.0430404802749036
10,InDegreeStrength,0.11574894835226344,0.01917984499234891,0.21957329375937204,1.0896068923707387
10,Rank,0.14811391771968418,0.028464125784340558,0.2763989041699329,0.9973321803213971
11,PageRank,0.12101654389983844,0.02133726031667872,0.2252499769197814,1.0566633922634872
11,PageRank05,0.1254454200151216,0.022950940672846476,0.2326570245951185,1.0407553205570432
11,InDegreeStrength,0.11656373849315982,0.01931331418114464,0.21830239603144105,1.086709875377546
11,Rank,0.15493950861087857,0.031076118703689898,0.2841022429503904,0.9972885098534151
12,PageRank,0.11723061157717436,0.0203493888397773,0.2159627627222832,1.0522710154969632
12,PageRank05,0.12109571685765809,0.02171804936329905,0.22238479890966192,1.0377051962144728
12,InDegreeStrength,0.11532937093840158,0.018936392969390033,0.21363472584196033,1.0890410708095615
12,Rank,0.16152543058556895,0.033807399185884664,0.2912296024235931,0.9972492518949392
13,PageRank,0.11678723007477927,0.020531157892857994,0.21291846794641295,1.0500577970285523
13,PageRank05,0.12001616803104678,0.02169560146535974,0.21821640759078587,1.036035208282281
13,InDegreeStrength,0.11447116973116621,0.018826732928711853,0.21016546906659242,1.085780622514255
13,Rank,0.16754840107780747,0.0362104021090944,0.2980283714765382,0.9972075361450642
14,PageRank,0.11461798503789641,0.02010880847647698,0.2079218423520553,1.0479401496411693
14,PageRank05,0.11774629809957313,0.0211801120375634,0.21302480787771708,1.0346118095346937
14,InDegreeStrength,0.11566995478188563,0.018965136190823517,0.21127582399669342,1.090628239430789
14,Rank,0.16995811156697146,0.03736536408392295,0.3001240845731842,0.997214781974354
15,PageRank,0.11284596579311715,0.019691647051594822,0.20341368572795418,1.0464079504372816
15,PageRank05,0.1158807041881427,0.020717205482203044,0.20841250237106987,1.0335252030657893
15,InDegreeStrength,0.11594471830333275,0.01874756173332404,0.21064352061065345,1.0895363928781354
