index,centrality,rND,rKL,rRD,equal_ex
0,PageRank,0.08566442290760784,0.010608524710126941,0.23616748369857668,1.0981186793892617
0,PageRank05,0.08752082626682714,0.011506033341963687,0.24083855124206957,1.0694818816853702
0,InDegreeStrength,0.08736243477139187,0.011418629958789731,0.24053557822794358,1.059628818779087
0,Rank,0.06877633550347824,0.006386201679665568,0.1912378417439695,0.9976392232312683
1,PageRank,0.0997940665797507,0.01386349923074002,0.25979933140369565,1.0988631111768046
1,PageRank05,0.10131887533570881,0.014640874952780793,0.26338870437203943,1.069534964885766
1,InDegreeStrength,0.0987725577032935,0.013676695253970002,0.25726321706336774,1.037100449357427
1,Rank,0.0816604780161077,0.008171492148210986,0.21500504339069626,0.9971985273279222
2,PageRank,0.10369073639022217,0.014906659195252202,0.26029256489562996,1.094254460930381
2,PageRank05,0.10559364261108085,0.015751058764267738,0.2645304867287968,1.0668733367101173
2,InDegreeStrength,0.1035037307726698,0.014902891205170972,0.25968829733294774,1.0340855034664094
2,Rank,0.09105998979469214,0.00972501919145718,0.2310828552801437,0.9969379787114196
3,PageRank,0.10290865017359356,0.014759544201918362,0.2521733594337498,1.0878975936200308
3,PageRank05,0.10491510408344025,0.015632880808714698,0.25675602218083443,1.0621871339217746
3,InDegreeStrength,0.10072485878387995,0.014525363771718036,0.24684666732905722,1.0219396203499695
3,Rank,0.09495054565205997,0.01045664660759476,0.23520706997676885,0.996919135998142
4,PageRank,0.1008512937388592,0.01436009138854575,0.24270868836693424,1.0815072633009277
4,PageRank05,0.10322692601510002,0.015239084235253938,0.24806869262389192,1.0579041654821713
4,InDegreeStrength,0.09853837246632165,0.014020213747478461,0.23723821164658795,1.0307372109029262
4,Rank,0.09795023297157524,0.011152284668550108,0.23793472771187135,0.9969386902044285
5,PageRank,0.0988348796744258,0.014021456707866108,0.23464991310593933,1.0758929213658326
5,PageRank05,0.10072585094256213,0.014680384523868766,0.2387939030583334,1.0538328489735578
5,InDegreeStrength,0.09781262732807151,0.013859499196141293,0.2322990308935611,1.0388350366546555
5,Rank,0.0988774755838374,0.011387173599562383,0.2367856962205454,0.997029664307416
6,PageRank,0.10031360202447785,0.01425402331985564,0.2347594680706514,1.0743535814997973
6,PageRank05,0.10240614082825358,0.01504490463034189,0.23920901365965913,1.0525179205518043
6,InDegreeStrength,0.09998764783527045,0.01417652500744864,0.2339459226553824,1.0456950110174055
6,Rank,0.10326451831270482,0.012510249091565827,0.24317334604862026,0.9970156357776222
7,PageRank,0.10403912860849135,0.014900187054681196,0.23950888906825146,1.0755014490361234
7,PageRank05,0.10615208812148218,0.01571348518701097,0.24390628967240247,1.0530982664765642
7,InDegreeStrength,0.10380073653087223,0.014987902564923234,0.23890682431685006,1.053517818506089
7,Rank,0.11036200332100808,0.014291900484786287,0.255067825995493,0.9969192009218879
8,PageRank,0.10353340977680137,0.015027978273044664,0.23580839777499854,1.0731226590274283
8,PageRank05,0.10494395246315558,0.01565446580514899,0.23868344393452337,1.0513274942782973
8,InDegreeStrength,0.10392000296440762,0.015033418479680389,0.23688740645391929,1.0496669231053044
8,Rank,0.11523732761905607,0.015614331997245587,0.2630433007870134,0.9968608693898324
9,PageRank,0.10603836228594761,0.015470322037900974,0.23879975334473333,1.0737224159890424
9,PageRank05,0.10722794882840778,0.01608133198119181,0.2411004555664961,1.0513406814091608
9,InDegreeStrength,0.1061202078537593,0.015377712129002723,0.23918086491024598,1.0539105487964395
9,Rank,0.11868900781836493,0.016319262839261255,0.2677975312962203,0.9968252020963758
10,PageRank,0.10753988098063356,0.015566933825728298,0.23961599010161275,1.07383514468408
10,PageRank05,0.10844805956279685,0.01608341815445997,0.24142695646847612,1.051142243095847
10,InDegreeStrength,0.10826310169825132,0.015913668016112614,0.24114015590723983,1.0440376439092343
10,Rank,0.12303052897098431,0.017421381429438523,0.2741342013784498,0.9967751773466098
11,PageRank,0.10950835216473215,0.015912823322774012,0.24151146602257992,1.0737302437764815
11,PageRank05,0.10985748829524038,0.016354990649292488,0.24191748144530173,1.0504603655387803
11,InDegreeStrength,0.11122102782366346,0.016411887202199646,0.2450539865168591,1.0505440448221077
11,Rank,0.13024801196070498,0.019395770585515795,0.28637765436610046,0.9966223909923718
12,PageRank,0.11111067811557043,0.016804035515961623,0.24258652698295305,1.0725678620347876
12,PageRank05,0.11142199310130038,0.01716290258393488,0.24295701847643492,1.0498649214261595
12,InDegreeStrength,0.11242162232513918,0.01682725600185523,0.2454857568538575,1.063520890748479
12,Rank,0.13538396152023752,0.02076366473557056,0.29473286860513054,0.9965316585055651
13,PageRank,0.11192420651512353,0.017294836346390178,0.24242349486797607,1.0713865118522878
13,PageRank05,0.11140085689961195,0.017287790738495654,0.2410848241895921,1.0489670337087276
13,InDegreeStrength,0.11308775056767008,0.017298267539457287,0.2450757514145116,1.0700369366804758
13,Rank,0.1389060038792529,0.021842185085711868,0.2997956589498893,0.9964905073161225
14,PageRank,0.11348554373937376,0.017428271554904767,0.24350093742299847,1.0720516732483931
14,PageRank05,0.11237263714352945,0.017336395461949768,0.24111027766348644,1.0490569249154542
14,InDegreeStrength,0.11599917039387166,0.018043067107231137,0.24868798407819795,1.0776177260568105
14,Rank,0.14442987333415613,0.023330717249931205,0.30829455164613173,0.9963820880471391
15,PageRank,0.11483862447428385,0.017895315888046714,0.24547460214898686,1.0723078192646531
15,PageRank05,0.11341225004101317,0.017622128039093223,0.24246632420691974,1.0490891500706907
15,InDegreeStrength,0.11636134306133764,0.018113071618123713,0.24883635527138798,1.0769518063943557
