index,centrality,rND,rKL,rRD,equal_ex
0,PageRank,0.08674103042166313,0.010856689313116095,0.2164754177094005,1.0746031329786057
0,PageRank05,0.08244308085860488,0.009936555162464836,0.20619866235810846,1.0482380407104332
0,InDegreeStrength,0.09195081516861099,0.01174008298064518,0.22924560373208752,1.0377254959570008
0,Rank,0.028608479039356403,0.0029925708676683464,0.07082483991562936,0.9994400607913348
1,PageRank,0.09133622335659539,0.011457784908481997,0.21238921884360112,1.0659156764382556
1,PageRank05,0.08843600887866428,0.010961910014612998,0.20588313640244463,1.0430212111214225
1,InDegreeStrength,0.1077080976000604,0.014991360267012165,0.2490949168086606,1.0470835263856597
1,Rank,0.05125483221883298,0.00651462952371011,0.1191982285177708,0.9989463339539024
2,PageRank,0.09323228185271203,0.012098833538510954,0.20844499925206889,1.062192048586985
2,PageRank05,0.09167936226559216,0.012076154774017885,0.20477259899931127,1.0415425695350466
2,InDegreeStrength,0.10931659427963758,0.015470872792155324,0.243147633838065,1.0304023327059653
2,Rank,0.06620680292161733,0.009709275401136351,0.1470661149032521,0.9987160409066826
3,PageRank,0.09532457494023422,0.012885576360957511,0.20766851800624916,1.0603034260307447
3,PageRank05,0.0944115469245531,0.013148376812954566,0.2054927799671208,1.041102284776557
3,InDegreeStrength,0.11060166783330141,0.015653222757742495,0.2400857384877733,1.0280451399326156
3,Rank,0.0776301770637836,0.012108182136501541,0.16772564920725133,0.9985207176803139
4,PageRank,0.09747172572067196,0.013813360476838975,0.2083881411813928,1.0597188753358306
4,PageRank05,0.09681553854849333,0.013766020641400022,0.20693595598828088,1.0414702505969387
4,InDegreeStrength,0.1119284056604987,0.01659463795161152,0.2386605843540516,1.0597785859341518
4,Rank,0.08382805345969906,0.013639884050847768,0.17773889444439014,0.998457799489435
5,PageRank,0.09846908422806129,0.013900780238643015,0.20765987155328985,1.0593974341883805
5,PageRank05,0.09942334496106005,0.014709302987050973,0.20910731543116634,1.0416974065279545
5,InDegreeStrength,0.11573714959589167,0.017718666491480472,0.2427899479320365,1.0661201094138768
5,Rank,0.09061842286417736,0.014959127242234478,0.18904529775749757,0.9983578348233565
6,PageRank,0.10066802628684081,0.014426711242961715,0.20981723765502536,1.0594492823520767
6,PageRank05,0.1015081852256406,0.015141298347809015,0.21122134165064504,1.0418842264720627
6,InDegreeStrength,0.11636617612160864,0.017649703120311503,0.2416804237460813,1.0863411470489854
6,Rank,0.09271599923634215,0.01602036864158993,0.19072817253215216,0.9984102869523026
7,PageRank,0.10238693488771891,0.014810741349045177,0.2116938542640078,1.059137903243987
7,PageRank05,0.10402241161038342,0.015737960918076537,0.21458184905514224,1.0418774606107521
7,InDegreeStrength,0.11746898134118242,0.01804186217569718,0.2418078362790622,1.0619743691402928
7,Rank,0.09620386850772256,0.01704416717570256,0.19583263794098651,0.9983933010135202
8,PageRank,0.10414413619655385,0.015158962234306609,0.21326750761706717,1.0590982740525225
8,PageRank05,0.10603538884152666,0.01614135334241263,0.21652540379180746,1.04179378783122
8,InDegreeStrength,0.12030318038218771,0.01870691729804178,0.24511238251030776,1.0754850935425324
8,Rank,0.10203754068255451,0.018679011928258802,0.20522435827139884,0.9983141590578339
9,PageRank,0.1058144874902873,0.016054180448954167,0.21438456643854686,1.0590402848171692
9,PageRank05,0.10686839789934312,0.016832154239026297,0.2160432418392386,1.0417118468242903
9,InDegreeStrength,0.1198385911760596,0.019023524645098662,0.2419524429216899,1.0845395482006976
9,Rank,0.10802223011434396,0.020484814242924938,0.21487248865845632,0.9982283993419286
10,PageRank,0.11164020962342455,0.017788206573197494,0.22363488385792196,1.061399560259626
10,PageRank05,0.11220026245389392,0.018223768385889443,0.224492115476544,1.0433062765295193
10,InDegreeStrength,0.12280613273690391,0.019869789454377725,0.24556292947393937,1.0765569399946755
10,Rank,0.1138144837672687,0.022171770445372052,0.22412525240118433,0.9981399880498788
11,PageRank,0.11153646510881103,0.017696524790094342,0.22228885325696565,1.060730455930887
11,PageRank05,0.11164636757317073,0.01816034984869468,0.2221237671515134,1.0427910074306908
11,InDegreeStrength,0.12323427319065282,0.020098799684388213,0.2451833742038748,1.093957679004695
11,Rank,0.11663979981288065,0.02287487906879334,0.22831291815095925,0.9981076870455321
12,PageRank,0.1115568074605617,0.017950542785130492,0.22114721914833613,1.0599918384994824
12,PageRank05,0.11138077845337604,0.01848196883127769,0.22041718558320267,1.0421433875553434
12,InDegreeStrength,0.12313176869719197,0.020363086405522913,0.2435731153003288,1.100323228914972
12,Rank,0.12013178302622671,0.02373419442621192,0.23380856235475259,0.9980505768126386
13,PageRank,0.11400262059438203,0.018481575339368075,0.22479582782807245,1.0609842238441973
13,PageRank05,0.11415418919523354,0.01908505115105348,0.22454628786806893,1.0428879842986576
13,InDegreeStrength,0.12426676456000862,0.020788236170072423,0.24443995409117208,1.0728926285919544
13,Rank,0.12172064338121477,0.023943048224772844,0.23594943385709824,0.9980145522040013
14,PageRank,0.112246359973646,0.018552765510197203,0.22019328281126607,1.0586513124378152
14,PageRank05,0.11277638387335512,0.01897386427684411,0.22095833088817343,1.0422147290577732
14,InDegreeStrength,0.12475459277621449,0.020902964590719393,0.2443571092759613,1.0870655891244916
14,Rank,0.12427751295224569,0.024814056035801235,0.2396216164501484,0.9979921498821539
15,PageRank,0.11237059229807345,0.018439622030521415,0.2193329654905555,1.0584228936461537
15,PageRank05,0.11272078562820882,0.019001219795116386,0.2196467123021163,1.0418717314454609
15,InDegreeStrength,0.12587822760990652,0.021315940036479734,0.24494254921323402,1.0787241050745693
