index,rND,rKL,rRD,equal_ex
0,0.0824899688522678,0.009947029807662999,0.20619866235810846,1.0482380407104332
1,0.08847553968770731,0.01096332785462312,0.20588313640244463,1.0430212111214225
2,0.09164878214914679,0.012072623597674973,0.20477259899931127,1.0415425695350466
3,0.09444363663714087,0.013153339295367349,0.2054927799671208,1.041102284776557
4,0.0967548749863473,0.013744498565377931,0.20693595598828088,1.0414702505969387
5,0.09943952371361651,0.014686422087703883,0.20910731543116634,1.0416974065279545
6,0.10156149562366522,0.01513624792278705,0.21122134165064504,1.0418842264720627
7,0.10408415275807403,0.015749410402043272,0.21458184905514224,1.0418774606107521
8,0.10610518701072934,0.01613793030633899,0.21652540379180746,1.04179378783122
9,0.10689974233761454,0.016797194747733113,0.2160432418392386,1.0417118468242903
10,0.11218338817895247,0.018177211939881612,0.224492115476544,1.0433062765295193
11,0.11155660131337974,0.018146927514446888,0.2221237671515134,1.0427910074306908
12,0.1113624392904871,0.01845383531814333,0.22041718558320267,1.0421433875553434
13,0.11419034321102046,0.019085884089546194,0.22454628786806893,1.0428879842986576
14,0.11274260783139321,0.018999176724058896,0.22095833088817343,1.0422147290577732
15,0.11273065328205606,0.0189695711524651,0.2196467123021163,1.0418717314454609
16,0.11397229726101085,0.019484060840486785,0.2208814543832194,1.0418632645954553
17,0.11238583877111098,0.0192403421116043,0.21734326040905813,1.0409816532319076
18,0.11330189909876152,0.019273202268572362,0.21799227725560244,1.0408635732517304
19,0.11129350398420446,0.018829856670249046,0.21371676053434885,1.0395036223254317
20,0.10953378920871008,0.018667767269854366,0.20954925192453283,1.0385843181977537
21,0.11065827957372876,0.019306290016256836,0.21038518404415849,1.0387931635407612
22,0.11180685877898451,0.019127593380928315,0.21298888945927122,1.038880329451291
23,0.11124228954627331,0.01904705560139541,0.2110412239681071,1.0386401660893234
24,0.11226224192881144,0.019857550869299852,0.2108661266966762,1.0384832817267926
25,0.11141589040079605,0.01961799598072392,0.20919888513199147,1.037955050366511
26,0.11154008154555715,0.01980589376374832,0.21039112444260324,1.0376171212760255
27,0.11361708470839108,0.020178556100825137,0.21563614777739473,1.0383991727730315
28,0.11151866580514296,0.019682611563813745,0.2119749089066319,1.038252621081962
29,0.117121658318332,0.020993468891358814,0.2231234598044076,1.0339819522403753
