index,centrality,rND,women_prop
0,PageRank,0.09186908680979247,0.09341001677450275
0,InDegreeStrength,0.09177713865638315,0.09341001677450275
1,PageRank,0.09973675628977124,0.10960977322533387
1,InDegreeStrength,0.09582845972424345,0.10960977322533387
2,PageRank,0.0987025279661909,0.12165812302839117
2,InDegreeStrength,0.09686409879705384,0.12165812302839117
3,PageRank,0.0974873108902053,0.13152871915373718
3,InDegreeStrength,0.09389463760080483,0.13152871915373718
4,PageRank,0.09600753809580531,0.13958565483364793
4,InDegreeStrength,0.09169571157431648,0.13958565483364793
5,PageRank,0.09579896232687536,0.14653399987622656
5,InDegreeStrength,0.09142555049621474,0.14653399987622656
6,PageRank,0.09665543691408626,0.1533121111821329
6,InDegreeStrength,0.09256003765417724,0.1533121111821329
7,PageRank,0.09899851906436424,0.16009748768094081
7,InDegreeStrength,0.09555360176840837,0.16009748768094081
8,PageRank,0.09892303565619737,0.16484713093360426
8,InDegreeStrength,0.09524241944695715,0.16484713093360426
9,PageRank,0.10140408002778699,0.16999539757462886
9,InDegreeStrength,0.09758141133689886,0.16999539757462886
10,PageRank,0.10204532008397817,0.175055222873855
10,InDegreeStrength,0.09965660021950837,0.175055222873855
11,PageRank,0.10160742715115054,0.17911724906471385
11,InDegreeStrength,0.10014949461864298,0.17911724906471385
12,PageRank,0.10402716707061134,0.18282532381067668
12,InDegreeStrength,0.10077857184483796,0.18282532381067668
13,PageRank,0.10593662809897506,0.18626210348210603
13,InDegreeStrength,0.10145586140276698,0.18626210348210603
14,PageRank,0.10631930422128053,0.19008901179027887
14,InDegreeStrength,0.10376532570781237,0.19008901179027887
15,PageRank,0.10733052525058517,0.19138564663809293
15,InDegreeStrength,0.10401949984343566,0.19138564663809293
16,PageRank,0.10522055876808716,0.1930485521137236
16,InDegreeStrength,0.10265685147310204,0.1930485521137236
17,PageRank,0.10575269451254843,0.19645538418809724
17,InDegreeStrength,0.10384243763463064,0.19645538418809724
18,PageRank,0.10813055214983443,0.19797931303501695
18,InDegreeStrength,0.10321210926352441,0.19797931303501695
19,PageRank,0.10898559437729054,0.2002826723539667
19,InDegreeStrength,0.10453205731946934,0.2002826723539667
20,PageRank,0.10890856975133488,0.20280570161334108
20,InDegreeStrength,0.10515155893752152,0.20280570161334108
21,PageRank,0.10924684618287582,0.20447506008870828
21,InDegreeStrength,0.10623441122451632,0.20447506008870828
22,PageRank,0.10923578144954958,0.2058574530998859
22,InDegreeStrength,0.10637562043240913,0.2058574530998859
23,PageRank,0.11144575230477073,0.2079308943089431
23,InDegreeStrength,0.10828023120428466,0.2079308943089431
24,PageRank,0.11221876648702897,0.20919841566157493
24,InDegreeStrength,0.10724744918803002,0.20919841566157493
25,PageRank,0.11110511890817283,0.2106594465085031
25,InDegreeStrength,0.10687530635042,0.2106594465085031
26,PageRank,0.10893386820041259,0.21232334789965066
26,InDegreeStrength,0.10606174123609625,0.21232334789965066
27,PageRank,0.10660385657871622,0.21346160980375184
27,InDegreeStrength,0.10396676121040183,0.21346160980375184
28,PageRank,0.10620392183079405,0.21389442762660701
28,InDegreeStrength,0.10359794352220696,0.21389442762660701
29,PageRank,0.10302970961461437,0.21334640830049528
29,InDegreeStrength,0.10255402904583412,0.21334640830049528
30,PageRank,0.1001615181777558,0.21259517647500092
30,InDegreeStrength,0.10065089992682887,0.21259517647500092
31,PageRank,0.09985215567059952,0.21247220741551776
31,InDegreeStrength,0.10086122714221231,0.21247220741551776
32,PageRank,0.10018474897122699,0.21055261990464905
32,InDegreeStrength,0.10412737764030411,0.21055261990464905
