index,rND,rKL,rRD,equal_ex
0,0.09198315641178162,0.011759560889808274,0.22924560373208752,1.0377254959570008
1,0.10771612363834822,0.014962945441549984,0.2490949168086606,1.0470835263856597
2,0.10927261446575959,0.015496616035726045,0.243147633838065,1.0304023327059653
3,0.11057272920092114,0.015633503093485917,0.2400857384877733,1.0280451399326156
4,0.11191521829199964,0.016614171046872055,0.2386605843540516,1.0597785859341518
5,0.1157686495750578,0.017686132798805758,0.2427899479320365,1.0661201094138768
6,0.11638556331456507,0.017640640859949163,0.2416804237460813,1.0863411470489854
7,0.11741804381342624,0.018034944159936773,0.2418078362790622,1.0619743691402928
8,0.12027861992158513,0.01869266490864781,0.24511238251030776,1.0754850935425324
9,0.11986646254898617,0.01897326331955424,0.2419524429216899,1.0845395482006976
10,0.12278818188355545,0.019856498763552145,0.24556292947393937,1.0765569399946755
11,0.12328188811945165,0.02004441984440312,0.2451833742038748,1.093957679004695
12,0.12316560766047469,0.020440094978939918,0.2435731153003288,1.100323228914972
13,0.12429117273434973,0.020786570558941994,0.24443995409117208,1.0728926285919544
14,0.12465197751178891,0.020870405868177913,0.2443571092759613,1.0870655891244916
15,0.12580526672789197,0.02131358479765251,0.24494254921323402,1.0787241050745693
16,0.12706291738398526,0.02160158632160292,0.24638325327681368,1.0962407427244154
17,0.12486953926361595,0.021203067799860642,0.2415227034485107,1.0989015085546021
18,0.12802932957774826,0.021850246435640323,0.24614714893602363,1.0926322997995117
19,0.1280193506502988,0.021804892160288154,0.24542586000522457,1.095939966408283
20,0.12776148268109322,0.022080695807887928,0.24395421860200892,1.1098188555408681
21,0.12936854268006268,0.022645102038069524,0.24552042156122955,1.113487897800251
22,0.1275840192497946,0.021831805008891654,0.24272299463996888,1.1171455691267613
23,0.12777301026933227,0.022185204136806608,0.241966051835373,1.1207408696417123
24,0.1305820003865074,0.023345129040497105,0.24485593845304168,1.1419838383582783
25,0.12905977390704634,0.023091698941153548,0.242006200972209,1.1339874986154463
26,0.12622396071829864,0.022140393741051746,0.2383672628741498,1.141645630452348
27,0.12295332901117058,0.021074865726012793,0.2340304379780892,1.1463151876828006
28,0.12044413119321996,0.020343668200290082,0.22988692647159378,1.1690262349372784
