rND	rKL	rRD	equal_ex	centrality	type	iteration
0.14099620975163818	0.02718476853304622	0.3126977327322574	1.1848369371742962	PageRank	true	0
0.23701901875859888	0.06003536706478424	0.34593297309389487	1.1839539474791136	PageRank	random	0
0.060757159793554616	0.004639548177268358	0.10384624845337716	1.0364134373807865	PageRank	matched	0
0.14061047536571847	0.02694148008681361	0.3119755805843494	1.1370654864574288	PageRank05	true	0
0.23582532708897144	0.05904155976781922	0.344782490110447	1.1371567410084913	PageRank05	random	0
0.06490925267505004	0.005277671605639703	0.11038206324702769	1.030619011088524	PageRank05	matched	0
0.11805621433185687	0.020148601269159707	0.26422664461069173	1.1003366245434538	InDegreeStrength	true	0
0.19544658349495087	0.043854022926235414	0.2928797772992835	1.094803759316193	InDegreeStrength	random	0
0.03788015558865185	0.003395286624451349	0.06393075080375392	0.9945474927496009	InDegreeStrength	matched	0
0.13201075279979949	0.01917854135630053	0.2974766198325183	0.9968065354443817	Rank	true	0
0.21744692855375244	0.04031324031751238	0.33403644886861333	0.9968006432774847	Rank	random	0
0.148790133679184	0.016961238317144665	0.2442601963676192	0.99769675752153	Rank	matched	0
0.14094169350531432	0.027207335911632848	0.3126977327322574	1.1848369371742962	PageRank	true	1
0.24007847960283038	0.06146378219090741	0.3498708799055213	1.1872083287950987	PageRank	random	1
0.05718304503041834	0.003751971427974835	0.09885939871170739	1.0361693406968027	PageRank	matched	1
0.14064015588420117	0.026916446308741574	0.3119755805843494	1.1370654864574288	PageRank05	true	1
0.23848182284262362	0.06012416392444657	0.3483171993297546	1.1386069482908991	PageRank05	random	1
0.06131139983644401	0.004327522319622706	0.10542913196615389	1.0297114560844938	PageRank05	matched	1
0.1181230325344535	0.020169155321533145	0.26422664461069173	1.1003366245434538	InDegreeStrength	true	1
0.19960699264893597	0.045260245021949724	0.29857760421553775	1.0975479104411106	InDegreeStrength	random	1
0.03429181487386532	0.0028111473622559717	0.058419723858290376	0.9943259479182998	InDegreeStrength	matched	1
0.1319864945587458	0.019175392971036962	0.2974766198325183	0.9968065354443817	Rank	true	1
0.22194575161364463	0.042440168492954705	0.3392059033796388	0.9967541767982887	Rank	random	1
0.14679880493092287	0.016396672355788133	0.24155270580260835	0.9977122362964659	Rank	matched	1
0.14097506131375656	0.027197676799610254	0.3126977327322574	1.1848369371742962	PageRank	true	2
0.23732084690840693	0.05966291156235698	0.34685357227289537	1.1861470773332732	PageRank	random	2
0.057159891185364554	0.004137457990760499	0.09815670556250959	1.0339125792554351	PageRank	matched	2
0.14062867430454498	0.02691283995416558	0.3119755805843494	1.1370654864574288	PageRank05	true	2
0.2364013148061983	0.05878316663471649	0.34608667844592167	1.1380946305628707	PageRank05	random	2
0.06233548571515685	0.00498312327683904	0.10602924868749956	1.0291247787137463	PageRank05	matched	2
0.11806277144728589	0.020169452897541334	0.26422664461069173	1.1003366245434538	InDegreeStrength	true	2
0.19514876634275033	0.04289243796666561	0.29345909462353365	1.1062218395085064	InDegreeStrength	random	2
0.032990016551389785	0.002703666463327504	0.05601373990997288	1.0014634137169376	InDegreeStrength	matched	2
0.13192922382088906	0.019224420824393785	0.2974766198325183	0.9968065354443817	Rank	true	2
0.21559999739941657	0.03911399417160292	0.33223221422949695	0.9968001331517351	Rank	random	2
0.1478156303697414	0.016894594722562002	0.24261861513958338	0.9977253102601287	Rank	matched	2
0.140977083084484	0.027194718369386684	0.3126977327322574	1.1848369371742962	PageRank	true	3
0.23522937036688588	0.05832080023621195	0.3448043185879392	1.1852020237524026	PageRank	random	3
0.05862392780791139	0.004236655454233344	0.10066431776401322	1.035389501521298	PageRank	matched	3
0.1405710354755806	0.026907702691252536	0.3119755805843494	1.1370654864574288	PageRank05	true	3
0.23397270952461433	0.057079068770462156	0.3437121281515905	1.1367456682249817	PageRank05	random	3
0.062309700798677176	0.004745769255814322	0.10652921233642318	1.029613098918979	PageRank05	matched	3
0.11810043688062663	0.020207961890818426	0.26422664461069173	1.1003366245434538	InDegreeStrength	true	3
0.19528099422046963	0.04278134262234019	0.2938178431639508	1.099018740639633	InDegreeStrength	random	3
0.03646489074812606	0.002918871313111845	0.062182471659934666	1.0033519588195765	InDegreeStrength	matched	3
0.1320066782603793	0.019205746021935387	0.2974766198325183	0.9968065354443817	Rank	true	3
0.21554800656072798	0.039735229773973535	0.33140967835018187	0.9968393788754593	Rank	random	3
0.14906580553009013	0.01696229797567412	0.2447729903625026	0.9976836868120912	Rank	matched	3
0.14095942087791202	0.027201355648769802	0.3126977327322574	1.1848369371742962	PageRank	true	4
0.2368893717790918	0.05870245123313183	0.3472598529861449	1.1871183395565352	PageRank	random	4
0.05733916871462592	0.004198116289939085	0.09837391049411932	1.0339995845399448	PageRank	matched	4
0.14060196388193502	0.02692124140583655	0.3119755805843494	1.1370654864574288	PageRank05	true	4
0.23536013303328937	0.057589283672172704	0.3456466706139341	1.1372475179095014	PageRank05	random	4
0.06160460325823589	0.004833111157302397	0.10493844635397237	1.02889262373354	PageRank05	matched	4
0.11808399067674026	0.020156244432258434	0.26422664461069173	1.1003366245434538	InDegreeStrength	true	4
0.19431140948200454	0.041801415971956316	0.2932254349343326	1.0993847465043805	InDegreeStrength	random	4
0.03451723660264458	0.0031304792731092104	0.05824650561692432	1.0030468714218175	InDegreeStrength	matched	4
0.1319794975481756	0.019195836725182693	0.2974766198325183	0.9968065354443817	Rank	true	4
0.21516205167343896	0.03926959439418565	0.331252539846701	0.9968357983641275	Rank	random	4
0.15077026155031267	0.0175251644376356	0.24697533532273053	0.9976743981166979	Rank	matched	4
0.14097457336497032	0.027226167156702934	0.3126977327322574	1.1848369371742962	PageRank	true	5
0.2372777812353325	0.05942109128617265	0.34722980113188684	1.1865769798684895	PageRank	random	5
0.05482738597507072	0.0038445077028290333	0.09432801828717613	1.0320809652723482	PageRank	matched	5
0.1405877915691638	0.026933140137416392	0.3119755805843494	1.1370654864574288	PageRank05	true	5
0.23602852480808248	0.058149193744667094	0.3461744370905014	1.1377816989539176	PageRank05	random	5
0.05891255165120015	0.004406746530287341	0.10089095054532754	1.0272620962271388	PageRank05	matched	5
0.11803183084651853	0.020180943489888897	0.26422664461069173	1.1003366245434538	InDegreeStrength	true	5
0.1962756211919115	0.04341265443691333	0.29493032204828495	1.0971971982208277	InDegreeStrength	random	5
0.035243921678377976	0.0031130743009254508	0.059654709142961504	0.9993821943152383	InDegreeStrength	matched	5
0.1319737368222713	0.019193824289166328	0.2974766198325183	0.9968065354443817	Rank	true	5
0.21640919777503426	0.03942804899851569	0.33325232096269747	0.9967965118109295	Rank	random	5
0.1452292107602482	0.016150372839328405	0.23910008427217594	0.9977478979643549	Rank	matched	5
0.14098336597204045	0.027212789915770925	0.3126977327322574	1.1848369371742962	PageRank	true	6
0.24058191122293968	0.06108426921467561	0.35101642112657766	1.1892004372622136	PageRank	random	6
0.06104750470492832	0.004674524545800508	0.10437168169041415	1.0362310080935169	PageRank	matched	6
0.1405473871709297	0.026932318699676473	0.3119755805843494	1.1370654864574288	PageRank05	true	6
0.23894833505056995	0.059630670112503906	0.3495168001255972	1.1398015703833424	PageRank05	random	6
0.0654618224649621	0.00534111278464113	0.11132063992332884	1.0308812246328896	PageRank05	matched	6
0.11804499711905883	0.020168668302863176	0.26422664461069173	1.1003366245434538	InDegreeStrength	true	6
0.20029925591953276	0.044668943915125645	0.30024473449284983	1.099859334115129	InDegreeStrength	random	6
0.03740708893458816	0.003233084386239639	0.06339815377579908	0.9976177546174504	InDegreeStrength	matched	6
0.13191299776680215	0.019184938745144518	0.2974766198325183	0.9968065354443817	Rank	true	6
0.21673365127065078	0.03929293636553909	0.3339474758680376	0.9967845216322061	Rank	random	6
0.14460304401831184	0.015983339332022294	0.23823098457726416	0.9977593940836492	Rank	matched	6
0.14090886787659712	0.02719144455348717	0.3126977327322574	1.1848369371742962	PageRank	true	7
0.24018503685746684	0.06159884700857414	0.3497624566869052	1.1883744377939955	PageRank	random	7
0.05796563489468885	0.004122810998882211	0.09961795398370281	1.0347613995696543	PageRank	matched	7
0.14056899156706404	0.02689895902268961	0.3119755805843494	1.1370654864574288	PageRank05	true	7
0.2391809522592343	0.060500449375661604	0.3489635126731273	1.1400037799941911	PageRank05	random	7
0.06169295160659141	0.004706147369681494	0.10541423571293716	1.0288103186947564	PageRank05	matched	7
0.11807005682267853	0.020184816712477977	0.26422664461069173	1.1003366245434538	InDegreeStrength	true	7
0.1989374316607453	0.04528278206484705	0.29734756003955953	1.1002370850973173	InDegreeStrength	random	7
0.034566576190588234	0.0029031073192683356	0.058781659818208716	0.9929482050038081	InDegreeStrength	matched	7
0.13195763243479466	0.01921000082754898	0.2974766198325183	0.9968065354443817	Rank	true	7
0.22041035672030823	0.04149256691814769	0.33769132559287834	0.9967625125389675	Rank	random	7
0.14604044745463757	0.016353125115280264	0.240253487265721	0.9977389189262693	Rank	matched	7
0.14097128293824251	0.027215829092824127	0.3126977327322574	1.1848369371742962	PageRank	true	8
0.23260457307568377	0.05753358274746921	0.3411761842876575	1.1796948124636453	PageRank	random	8
0.06152699523749342	0.0047741365860824265	0.1049663668913293	1.0367747599941812	PageRank	matched	8
0.14052945240451054	0.02690822463429905	0.3119755805843494	1.1370654864574288	PageRank05	true	8
0.23182690886226578	0.05649203099092362	0.34070574805561193	1.1340486444023095	PageRank05	random	8
0.06552445624655195	0.005336091851216907	0.11134700302193101	1.0309381814165073	PageRank05	matched	8
0.11805530066523824	0.020150008598471308	0.26422664461069173	1.1003366245434538	InDegreeStrength	true	8
0.19043322849437308	0.041275978843431836	0.2871159700419452	1.0916253729631316	InDegreeStrength	random	8
0.0381476161411055	0.0031316877231569993	0.06493160737792758	0.9916053453055302	InDegreeStrength	matched	8
0.1319772203403169	0.01920841750087643	0.2974766198325183	0.9968065354443817	Rank	true	8
0.2145128867399599	0.03914722472145171	0.33032254611323203	0.9968484193140333	Rank	random	8
0.15106478030980705	0.017882893399594865	0.2469760726967847	0.9976996445363152	Rank	matched	8
0.14096139288027087	0.027196834032946378	0.3126977327322574	1.1848369371742962	PageRank	true	9
0.24270770875817343	0.06205614989227215	0.3536088153200977	1.1919504602550346	PageRank	random	9
0.05664809795218532	0.003965842812249166	0.09747964151646009	1.0340833310343447	PageRank	matched	9
0.1405354513957069	0.02692853699363035	0.3119755805843494	1.1370654864574288	PageRank05	true	9
0.24180890735375574	0.06113888121164739	0.3528267090207866	1.1419056589287961	PageRank05	random	9
0.05956253374891112	0.004273053836582567	0.10230988285283256	1.0283524603809704	PageRank05	matched	9
0.11811260445147453	0.020186265668805353	0.26422664461069173	1.1003366245434538	InDegreeStrength	true	9
0.19948855854676872	0.04439719236015369	0.29925702274144333	1.1006644139439388	InDegreeStrength	random	9
0.034101640898516736	0.0027020522551885282	0.0582419991303567	0.9959756871007857	InDegreeStrength	matched	9
0.1320067472278844	0.019194574340916013	0.2974766198325183	0.9968065354443817	Rank	true	9
0.2203425071449969	0.04118441458981099	0.3379343289798347	0.996747184918181	Rank	random	9
0.14617587582050817	0.016414845880775467	0.2404015037286979	0.9977438879626945	Rank	matched	9
0.1409899783357863	0.027183997085343685	0.3126977327322574	1.1848369371742962	PageRank	true	10
0.24198098684463096	0.06239135697590247	0.35193518855761313	1.1897088668695832	PageRank	random	10
0.06194953509982166	0.004436788796618098	0.106432719205564	1.0392361096694165	PageRank	matched	10
0.14057763540903964	0.02694187225490892	0.3119755805843494	1.1370654864574288	PageRank05	true	10
0.2410554373250952	0.061370486168004064	0.35124477510893665	1.1410405782499942	PageRank05	random	10
0.06610142662723396	0.0050489884547935595	0.11299957593637108	1.0320954318703393	PageRank05	matched	10
0.11806813701095104	0.020176748079461047	0.26422664461069173	1.1003366245434538	InDegreeStrength	true	10
0.19969070323615304	0.045002240479427594	0.2989216783629483	1.0971223760451192	InDegreeStrength	random	10
0.03634061585998587	0.002847814896835087	0.06208232383474279	0.9931630231811669	InDegreeStrength	matched	10
0.13199925662720302	0.01919153785045565	0.2974766198325183	0.9968065354443817	Rank	true	10
0.22151555457922703	0.0423574742957619	0.3385767244554598	0.9967618184734374	Rank	random	10
0.14969703725209707	0.01707290829108832	0.24573750388249915	0.9976697062580272	Rank	matched	10
0.1409316809374235	0.027170237969787334	0.3126977327322574	1.1848369371742962	PageRank	true	11
0.2313550388470692	0.057143968641519244	0.3395285891224245	1.1789608372028053	PageRank	random	11
0.05519471803036836	0.003921865919985597	0.09481223414250807	1.0321369128860345	PageRank	matched	11
0.14061482753178334	0.026941505049035013	0.3119755805843494	1.1370654864574288	PageRank05	true	11
0.2300459703222404	0.05588419107494116	0.338388440313681	1.132732105081355	PageRank05	random	11
0.058330420023204356	0.004354161930999606	0.09981145077906373	1.0273211190347513	PageRank05	matched	11
0.11803812916383628	0.020175856905508747	0.26422664461069173	1.1003366245434538	InDegreeStrength	true	11
0.19106851684314294	0.04132456765774396	0.2882054640754911	1.096776449670715	InDegreeStrength	random	11
0.033755705856621084	0.0027906606910761047	0.057356365600597405	0.9909890531217883	InDegreeStrength	matched	11
