index,centrality,rND,women_prop
0,PageRank,0.10594009691556468,0.1333077770856294
0,InDegreeStrength,0.11003920070333287,0.1333077770856294
1,PageRank,0.10604016051006628,0.1606496389783387
1,InDegreeStrength,0.11807828845517246,0.1606496389783387
2,PageRank,0.10208705314480966,0.17835161194706467
2,InDegreeStrength,0.11599518740808386,0.17835161194706467
3,PageRank,0.10510407764932998,0.19148026107344274
3,InDegreeStrength,0.11550658831029668,0.19148026107344274
4,PageRank,0.10795759718345484,0.20179085860235813
4,InDegreeStrength,0.11831359977700753,0.20179085860235813
5,PageRank,0.11001981370703243,0.2112130650728176
5,InDegreeStrength,0.12213945452672775,0.2112130650728176
6,PageRank,0.11159377410074622,0.21762759924385633
6,InDegreeStrength,0.12201025046879925,0.21762759924385633
7,PageRank,0.11255789983105068,0.22266885018113244
7,InDegreeStrength,0.12380323629764196,0.22266885018113244
8,PageRank,0.11432564064088539,0.22840876878011906
8,InDegreeStrength,0.12626666896235167,0.22840876878011906
9,PageRank,0.11535069753382834,0.23259103356190736
9,InDegreeStrength,0.12502875716621312,0.23259103356190736
10,PageRank,0.12062528710672407,0.2372193905216354
10,InDegreeStrength,0.12729547796000748,0.2372193905216354
11,PageRank,0.12104675580678724,0.24047789874286427
11,InDegreeStrength,0.12839023014083364,0.24047789874286427
12,PageRank,0.11975031620731548,0.24307496051512575
12,InDegreeStrength,0.1279580809088156,0.24307496051512575
13,PageRank,0.12159926997133554,0.24634649381261048
13,InDegreeStrength,0.12895316802258966,0.24634649381261048
14,PageRank,0.1209306453779777,0.24918540318958846
14,InDegreeStrength,0.12888933267921973,0.24918540318958846
15,PageRank,0.11884872342952701,0.251708788855158
15,InDegreeStrength,0.12752140706495455,0.251708788855158
16,PageRank,0.11977530778180508,0.2547727148405448
16,InDegreeStrength,0.12881073571478815,0.2547727148405448
17,PageRank,0.11839572476724732,0.2564979788067307
17,InDegreeStrength,0.1277972926045464,0.2564979788067307
18,PageRank,0.11774401740909674,0.258858319691609
18,InDegreeStrength,0.12847857612401412,0.258858319691609
19,PageRank,0.11539979973106644,0.2602227264067615
19,InDegreeStrength,0.12649100939468494,0.2602227264067615
20,PageRank,0.1158570589441779,0.2621301066251348
20,InDegreeStrength,0.12780661796512552,0.2621301066251348
21,PageRank,0.11542367688854363,0.26480086114101187
21,InDegreeStrength,0.12787372322334695,0.26480086114101187
22,PageRank,0.11367205477232221,0.26444729332947353
22,InDegreeStrength,0.1237111692864773,0.26444729332947353
23,PageRank,0.11322121397078176,0.26578278715225745
23,InDegreeStrength,0.12273050191685106,0.26578278715225745
24,PageRank,0.11224491141606315,0.2691860039230688
24,InDegreeStrength,0.12359959493038815,0.2691860039230688
25,PageRank,0.11034147152552891,0.2692310838780402
25,InDegreeStrength,0.12208795307050828,0.2692310838780402
26,PageRank,0.11317989382807478,0.26772904326959635
26,InDegreeStrength,0.12135918961874191,0.26772904326959635
27,PageRank,0.11315176246438294,0.2646191359850828
27,InDegreeStrength,0.11880996837627586,0.2646191359850828
28,PageRank,0.1106976628830237,0.26326294582898074
28,InDegreeStrength,0.11543319790187564,0.26326294582898074
29,PageRank,0.11443253394689326,0.25991598953312217
29,InDegreeStrength,0.1195090320428868,0.25991598953312217
