index,rND,rKL,rRD,equal_ex
0,0.02861834327327639,0.002991432068774335,0.07082483991562936,0.9994400607913348
1,0.0512475033376759,0.006512697889378506,0.1191982285177708,0.9989463339539024
2,0.06621434275850042,0.009706575446112031,0.1470661149032521,0.9987160409066826
3,0.07764473708279407,0.012134105497619833,0.16772564920725133,0.9985207176803139
4,0.08384269508827123,0.01367675902964818,0.17773889444439014,0.998457799489435
5,0.09061669671208317,0.01496000655041687,0.18904529775749757,0.9983578348233565
6,0.09276959859941693,0.015996251252344953,0.19072817253215216,0.9984102869523026
7,0.09618388788286047,0.01703985379507942,0.19583263794098651,0.9983933010135202
8,0.10206185167225768,0.018682061321414256,0.20522435827139884,0.9983141590578339
9,0.10798220647455009,0.02047771332202267,0.21487248865845632,0.9982283993419286
10,0.11382451390944996,0.02219038529991185,0.22412525240118433,0.9981399880498788
11,0.11670923492152868,0.02284087757910536,0.22831291815095925,0.9981076870455321
12,0.12011934475935812,0.023731852663403854,0.23380856235475259,0.9980505768126386
13,0.12168501132443127,0.023923529986940653,0.23594943385709824,0.9980145522040013
14,0.12423210617961307,0.024780061454988185,0.2396216164501484,0.9979921498821539
15,0.1269127115519517,0.0258621550707273,0.24284539465408853,0.9979756891820496
16,0.1282991822413602,0.02582467009481396,0.24465296740465944,0.9979532610981295
17,0.1295899851947542,0.02633309041863561,0.24638991700683152,0.9979398302105676
18,0.1349996864936938,0.0280769082409566,0.25486655056157936,0.9978439788746472
19,0.1368250799805763,0.02840935453976372,0.25738156689376906,0.9978195383060374
20,0.13664693517143456,0.028042658492963685,0.2564948843783096,0.9978302691813722
21,0.1411419554257358,0.02972502597914482,0.2630470907547527,0.9977613984988398
22,0.13944757577214786,0.029257305249627726,0.2600074135707445,0.9978112710265918
23,0.14136402625662187,0.029272787332886428,0.2630116209963228,0.9977708482236609
24,0.14947543758611762,0.03169145569136704,0.27537721647792723,0.9976007244714721
25,0.15083391900590593,0.03197713653628621,0.27759718569416636,0.9975770696668546
26,0.1520112931152499,0.032543300705357714,0.2810172868008166,0.9975594900651069
27,0.153483054723008,0.03254536907101685,0.2859767300076731,0.9974855898223294
28,0.15643155610532325,0.03331477517962103,0.2917766227982723,0.9973950298011718
