index,centrality,rND,rKL,rRD,equal_ex
0,PageRank,0.1653095753065302,0.03295513258952996,0.2817147761085937,1.1002744597731144
0,PageRank05,0.16115116153071646,0.031636583569481694,0.27515879281313205,1.0663222869892217
1,PageRank,0.14854335066384092,0.025710613822406154,0.24511165318602102,1.070754777502083
1,PageRank05,0.14519694125437033,0.025063785951104436,0.2397281168020554,1.0471501271355268
