rND	rKL	rRD	equal_ex	centrality	type
0.2115055198006509	0.04999842912154919	0.3135725316737255	1.1330885443342582	PageRank	random
0.03492459305725832	0.001523473472222004	0.061803625179446986	1.017573165337992	PageRank	matched
0.20694807020283393	0.04888973121419987	0.307210180687731	1.0940418427369438	PageRank05	random
0.03277227698756306	0.0013413648470450709	0.058155494735127045	1.0127880628299752	PageRank05	matched
0.19175075990972362	0.04171210440088842	0.28909318441865306	1.1278134067264738	InDegreeStrength	random
0.032178460683336504	0.0014528720441684424	0.056859506135058475	1.0328350786571485	InDegreeStrength	matched
0.15818285463591344	0.03644944371075621	0.23534282995063463	0.9982806180337287	Rank	random
0.10820352452396116	0.01625415408903565	0.172346727943243	0.9987905857027275	Rank	matched
