AuthorId,PageRank,PageRank05,InDegreeStrength,InDegree,OutDegreeStrength,OutDegree,Gender,Rank,PaperCount,PaperFamilyCount,CitationCount,CreatedDate,DisplayName
2099607353,0.00085813366,0.00028035982,12258.514,12545.0,947.90753,656.0,1,12087,158,128,39466,2016-06-24,Oliver Hart
2188691872,0.00084961054,0.0003049065,14340.026,14386.0,1838.6056,962.0,1,12597,265,251,19925,2016-06-24,Stanley Fischer
313690839,0.0008485943,0.0003135024,16261.351,16464.0,2715.671,1467.0,1,12198,320,285,26781,2016-06-24,James M. Poterba
2148915000,0.0008314431,0.00032257946,10940.586,14053.0,2472.659,1492.0,1,12205,471,458,28592,2016-06-24,Dale W. Jorgenson
2124877045,0.0008093732,0.00026982656,18966.754,10353.0,2863.7073,804.0,1,12862,127,111,16371,2016-06-24,John H. Cochrane
1939793794,0.0008050531,0.00035340778,14197.084,19824.0,781.43335,609.0,1,11955,212,194,39882,2016-06-24,Jerry A. Hausman
2143581210,0.0007957282,0.00043525206,15056.506,14231.0,1380.7916,492.0,1,11631,190,186,79842,2016-06-24,Oliver E. Williamson
1815791491,0.00078251824,0.00041482758,27716.062,21091.0,2834.057,1378.0,0,12199,301,268,45766,2016-06-24,Dani Rodrik
2111470836,0.0007809988,0.00030274916,18170.75,23561.0,1436.3334,776.0,-1,12300,181,154,31509,2016-06-24,N. Gregory Mankiw
2559352217,0.0007775006,0.00029957588,18075.498,14637.0,1984.4851,1621.0,1,12355,336,290,33900,2016-12-08,David Card
2111466348,0.0007748054,0.0003398471,17494.21,15990.0,741.06946,511.0,1,12619,129,125,29079,2016-06-24,Christopher A. Sims
2163230505,0.00077166315,0.00037273302,17053.352,20656.0,1440.8988,1492.0,1,11834,718,691,56441,2016-06-24,Jeffrey D. Sachs
2040904325,0.00077132025,0.00039345206,13049.508,21570.0,3.162393,29.0,1,11879,160,159,66194,2016-06-24,Joseph A. Schumpeter
2147218102,0.0007657311,0.00025816416,21132.992,12608.0,3256.5361,1529.0,1,12853,246,217,28389,2016-06-24,Michael Woodford
298869017,0.0007535818,0.00030076702,19995.855,16529.0,3264.3467,1847.0,1,12563,292,238,29749,2016-06-24,Maurice Obstfeld
1970476475,0.00074758776,0.00034421028,25434.83,26085.0,5402.521,3400.0,1,11959,582,468,64961,2016-06-24,Daron Acemoglu
2105962191,0.00074744207,0.00030996941,11881.546,15351.0,620.6667,555.0,1,12638,99,88,24405,2016-06-24,Sherwin Rosen
2603280716,0.0007466802,0.00028780234,11000.203,17525.0,963.4611,1378.0,1,12210,187,180,29439,2017-04-07,Richard Roll
1455473529,0.00072601123,0.00030327804,20344.074,21815.0,1056.45,884.0,1,12374,169,151,40865,2016-06-24,Ben S. Bernanke
723107423,0.00072414835,0.0002840814,11996.683,18576.0,1039.3175,598.0,1,12039,157,153,48737,2016-06-24,Paul Milgrom
558711637,0.0007226105,0.00032541013,13834.461,17575.0,724.31946,646.0,1,12349,120,114,37662,2016-06-24,George A. Akerlof
2495582284,0.00071800826,0.0002330017,5951.067,7661.0,38.0,32.0,1,13102,32,32,8831,2016-08-23,John Lintner
2155507438,0.00070440816,0.00033398386,21999.83,20671.0,9270.647,2471.0,1,12364,444,400,33838,2016-06-24,Jeffrey A. Frankel
2163021063,0.00069938006,0.00033100994,23108.8,18258.0,2496.2222,1302.0,1,11761,218,192,46460,2016-06-24,Raghuram G. Rajan
2137233744,0.000697419,0.00022248,14105.191,6926.0,5088.1333,1105.0,1,13117,241,208,12228,2016-06-24,Bennett T. McCallum
2623349043,0.0006971553,0.00032551427,7443.54,9905.0,321.5,243.0,1,12486,203,203,18881,2017-06-15,Henri Theil
2312377009,0.00069096184,0.00030538696,10958.932,11206.0,719.2592,856.0,1,12594,271,262,27849,2016-06-24,William D. Nordhaus
1971599609,0.00068219885,0.0002491957,11239.038,13100.0,480.30554,528.0,1,12380,84,75,34613,2016-06-24,Bengt Holmstrom
2169662904,0.00066979707,0.0002508255,16011.371,14343.0,1689.5806,846.0,1,12618,275,251,25116,2016-06-24,Guillermo A. Calvo
2101947066,0.00066591543,0.00031459858,23141.895,21288.0,3081.2734,1836.0,1,11933,380,320,53208,2016-06-24,Alberto Alesina
1856348575,0.0006625642,0.00026269443,13338.72,15656.0,1259.1666,860.0,1,12319,226,207,38132,2016-06-24,Avinash Dixit
662336143,0.0006617753,0.00029041778,18156.328,12685.0,4857.3193,1435.0,1,12639,277,247,22536,2016-06-24,Frederic S. Mishkin
1989999200,0.00065853377,0.000261999,21412.96,19488.0,1847.6576,1357.0,1,12189,170,145,43411,2016-06-24,Mark Gertler
2250833063,0.0006555276,0.00020102668,7420.433,9327.0,1082.539,744.0,1,12973,290,280,13617,2016-06-24,Edmund S. Phelps
122795677,0.00065548904,0.00020193696,9181.348,6493.0,2197.7717,1014.0,0,12548,279,261,12758,2016-06-24,Laurence J. Kotlikoff
2233085770,0.0006551745,0.0005710793,12966.551,19767.0,422.93332,799.0,1,11393,626,607,114371,2016-06-24,Michael E. Porter
1657228514,0.0006537061,0.0002130229,4870.095,5622.0,0.0,0.0,-1,13621,111,108,8400,2016-06-24,Arthur Cecil Pigou
2398235312,0.0006501677,0.00022988222,8092.015,7553.0,697.83655,527.0,1,13265,195,183,14432,2016-06-24,Martin L. Weitzman
1965678328,0.00064823637,0.0002564391,6553.1167,7734.0,8.25,6.0,1,11811,72,71,24980,2016-06-24,Harold Hotelling
198900819,0.00064660585,0.00029826234,17547.555,28286.0,558.5833,661.0,1,11300,100,85,93837,2016-06-24,Robert W. Vishny
1880039828,0.0006445644,0.00027997894,14517.418,19130.0,1621.9194,1217.0,1,12058,296,259,46293,2016-06-24,Alan B. Krueger
2004531954,0.0006418562,0.00020493264,10757.182,7732.0,4078.3032,1540.0,1,12621,345,309,13450,2016-06-24,Alan J. Auerbach
2170338717,0.00064103113,0.00028140226,12234.992,13131.0,2164.2375,1870.0,1,12483,395,367,26340,2016-06-24,Anthony B. Atkinson
616670817,0.00063709985,0.000222596,10501.27,9206.0,1114.9166,651.0,1,12846,145,130,19455,2016-06-24,Edward P. Lazear
726035367,0.00063030346,0.00025481856,12324.135,13807.0,1658.0056,1073.0,1,12750,233,219,19795,2016-06-24,Alan S. Blinder
