AuthorId	PageRank	PageRank05	InDegreeStrength	InDegree	OutDegreeStrength	OutDegree	Gender	Rank
225575492	4.968653e-07	1.0303614e-06	0.2	2.0	3.0611112	3.0611112	1	15613
227751638	1.27738e-06	1.3618421e-06	11.5	30.0	51.0	51.0	1	17376
233101199	2.3410266e-06	2.533313e-06	24.166666	92.0	32.066666	32.066666	0	16460
235010354	8.290014000000001e-07	1.1416668e-06	2.5	6.0	27.666665999999996	27.666665999999996	0	16470
241769143	1.3903912e-06	1.9067775e-06	48.833332	93.0	43.125	43.125	0	16386
242643912	3.1820082000000003e-06	2.6958039999999998e-06	66.5	102.0	65.75	65.75	0	16984
255811909	7.938252e-07	1.3603967e-06	4.0833335	29.0	4.9583335	4.9583335	0	16080
257943998	1.0038645e-05	7.4195295e-06	238.7736	660.0	300.53472999999997	300.53472999999997	0	14808
258236207	5.576035000000001e-07	1.0996682e-06	4.6666665	23.0	3.6111112000000003	3.6111112000000003	1	17647
263973152	8.197798000000001e-07	1.1688993999999999e-06	5.3333335	15.0	67.25	67.25	1	16009
277253851	8.084097699999999e-07	1.2661661000000001e-06	14.25	43.0	69.541664	69.541664	0	17873
278659279	6.725245499999999e-07	1.1685937e-06	11.666667	23.0	140.75	140.75	1	16587
289599213	6.614499000000001e-07	1.2314206999999999e-06	3.5	18.0	21.944445	21.944445	1	17722
289887520	4.7988215e-07	1.0261032e-06	0.0	0.0	1.0	1.0	1	13124
303367259	4.7988215e-07	1.0261032e-06	0.0	0.0	1.0555556000000001	1.0555556000000001	1	13092
304354277	1.43013895e-05	6.37197e-06	307.79166000000004	331.0	510.97222999999997	510.97222999999997	0	15187
311870681	5.10624e-07	1.0629151e-06	1.0	2.0	1.8333334	1.8333334	0	16951
321793836	4.910244e-07	1.0300838e-06	0.33333334	1.0	9.833333	9.833333	1	15849
328380079	6.4962705e-07	1.1649021e-06	4.0	10.0	118.66666399999998	118.66666399999998	1	17556
330550212	6.682365e-07	1.0956331000000002e-06	3.5	8.0	31.5	31.5	0	17782
337062936	8.989723599999999e-07	1.3510093999999999e-06	12.333333	42.0	30.0	30.0	1	17915
343834168	7.313428299999999e-06	3.9768740000000005e-06	117.25	237.0	120.66666399999998	120.66666399999998	0	16923
344634494	2.3132588e-06	2.5474117e-06	34.0	89.0	12.0	12.0	0	15472
